"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"ath00073","ath00073","Cutin, suberine and wax biosynthesis",33,0.823439227021805,2.00289288346468,2.0550809175541e-06,0.000236334305518721,0.000211997820968739,1577,"tags=45%, list=6%, signal=43%","AT5G55240/AT4G26740/AT1G63710/AT5G37300/AT2G33380/AT1G01600/AT5G22500/AT1G02205/AT3G44550/AT3G10570/AT3G44540/AT5G58860/AT5G23190/AT1G02190/AT1G72970"
"ath03050","ath03050","Proteasome",61,0.676762265235985,1.80596729334492,8.05516208575818e-05,0.00463171819931095,0.00415476781265422,6632,"tags=79%, list=25%, signal=59%","AT5G20000/AT1G09100/AT3G11270/AT2G05840/AT4G14800/AT1G67250/AT5G42040/AT1G16470/AT3G26340/AT1G53850/AT1G56450/AT5G45010/AT4G29040/AT1G21720/AT3G13330/AT4G38630/AT4G31300/AT2G27020/AT1G64750/AT5G40580/AT5G23540/AT3G51260/AT1G47250/AT5G64760/AT4G15165/AT3G53970/AT1G79210/AT3G27430/AT5G58290/AT1G77440/AT2G20580/AT5G66140/AT3G60820/AT4G19006/AT5G35590/AT1G53750/AT3G14290/AT5G43010/AT5G09900/AT5G42790/AT5G19990/AT1G13060/AT1G64520/AT3G22630/AT4G24820/AT1G20200/AT2G26590/AT5G57950"
"ath01200","ath01200","Carbon metabolism",265,-0.36214304554767,-1.44604139998339,0.000470618571828759,0.0157157150551355,0.014097391994538,3080,"tags=25%, list=12%, signal=22%","AT1G47840/AT5G36790/AT3G49360/AT5G07440/AT1G79750/AT2G35370/AT1G32440/AT1G30120/AT1G32470/AT2G18450/AT1G50460/AT2G42600/AT5G35360/AT1G65930/AT5G52920/AT2G38040/AT1G70580/AT5G42250/AT3G12780/AT4G16155/AT4G26520/AT1G22430/AT5G65165/AT5G24410/AT3G22960/AT1G11860/AT3G54050/AT2G34590/AT5G38410/AT1G67090/AT3G60750/AT3G16950/AT5G44520/AT1G13700/AT1G12900/AT5G61410/AT5G24420/AT2G35390/AT3G04790/AT5G65690/AT5G36700/AT3G26650/AT3G16910/AT3G55800/AT1G42970/AT4G37930/AT3G19480/AT2G01290/AT2G13360/AT1G32060/AT5G38420/AT4G38970/AT4G26530/AT2G21330/AT3G14415/AT3G14420/AT5G09660/AT1G23310/AT3G49160/AT1G68010/AT1G80380/AT4G33010/AT2G26080/AT3G21720/AT5G38430/AT4G35090"
"ath00710","ath00710","Carbon fixation in photosynthetic organisms",68,-0.548299659273023,-1.76295618796414,0.00067458814344804,0.0157157150551355,0.014097391994538,1991,"tags=37%, list=8%, signal=34%","AT2G42600/AT1G70580/AT3G12780/AT4G26520/AT3G54050/AT5G38410/AT1G67090/AT3G60750/AT5G44520/AT1G12900/AT5G61410/AT3G04790/AT5G65690/AT3G26650/AT3G55800/AT1G42970/AT2G01290/AT1G32060/AT5G38420/AT4G38970/AT4G26530/AT2G21330/AT5G09660/AT1G23310/AT5G38430"
"ath00630","ath00630","Glyoxylate and dicarboxylate metabolism",76,-0.516437591356396,-1.6936534361211,0.000718140708332056,0.0157157150551355,0.014097391994538,1991,"tags=32%, list=8%, signal=29%","AT1G70580/AT4G16155/AT1G11860/AT5G38410/AT1G67090/AT3G16950/AT5G35630/AT5G36700/AT3G16910/AT4G37930/AT2G13360/AT5G38420/AT5G04140/AT3G14415/AT3G14420/AT5G09660/AT1G23310/AT1G68010/AT1G80380/AT4G33010/AT2G26080/AT3G21720/AT5G38430/AT4G35090"
"ath00480","ath00480","Glutathione metabolism",102,0.584069459274407,1.67810396051123,0.000819950350702721,0.0157157150551355,0.014097391994538,4017,"tags=38%, list=15%, signal=32%","AT2G29470/AT5G17220/AT1G78370/AT5G02780/AT2G29460/AT3G03190/AT1G02930/AT1G02940/AT1G69920/AT2G02930/AT1G02920/AT4G02520/AT1G19570/AT1G74590/AT1G48130/AT4G35970/AT5G53120/AT5G62480/AT1G49860/AT2G30860/AT1G17170/AT1G78340/AT1G02950/AT1G54340/AT1G63460/AT1G17180/AT1G69930/AT5G26220/AT1G78320/AT5G41210/AT2G30870/AT5G02790/AT4G11600/AT2G43350/AT2G24200/AT1G65820/AT1G78360/AT1G24280/AT3G27300"
"ath00966","ath00966","Glucosinolate biosynthesis",26,0.749707072955303,1.72755202407442,0.0013361444923787,0.0219509452319357,0.0196905504140018,1831,"tags=46%, list=7%, signal=43%","AT1G16410/AT5G23010/AT3G19710/AT2G43100/AT4G13770/AT5G14200/AT3G58990/AT1G16400/AT5G23020/AT1G18590/AT2G20610/AT1G74090"
"ath00195","ath00195","Photosynthesis",46,-0.561399822734819,-1.67921465255323,0.00322259009939722,0.0442644455025197,0.0397063218237705,4734,"tags=48%, list=18%, signal=39%","AT1G76100/AT4G21280/AT5G64040/AT1G03600/AT1G79040/AT1G20020/AT1G44575/AT4G14890/AT3G50820/AT4G09650/AT5G66190/AT4G32260/AT1G10960/AT4G04640/AT2G07707/AT1G20340/AT4G03280/AT4G28660/AT3G55330/AT1G60950/AT3G01440/AT1G14150"
"ath00940","ath00940","Phenylpropanoid biosynthesis",171,0.504117604664948,1.52121825688221,0.00346417399584937,0.0442644455025197,0.0397063218237705,3283,"tags=29%, list=13%, signal=26%","AT5G19880/AT1G77100/AT3G60120/AT2G24800/AT4G08780/AT2G18150/AT1G14550/AT5G58390/AT5G28510/AT4G37970/AT3G49110/AT1G80820/AT2G34790/AT4G36430/AT4G21760/AT5G09640/AT3G18080/AT5G06720/AT3G21370/AT5G06730/AT1G68850/AT3G49120/AT1G48130/AT5G05340/AT2G35380/AT3G03640/AT5G54570/AT3G13610/AT1G45191/AT4G36220/AT1G14540/AT2G44450/AT5G66690/AT2G38390/AT1G65060/AT1G24735/AT4G31760/AT2G44460/AT4G37980/AT2G41480/AT4G21960/AT4G25980/AT5G17820/AT3G47040/AT4G27830/AT1G02850/AT3G47050/AT4G34230/AT5G20940/AT1G72680"
