gene,log2FoldChange
AT1G06900,-0.921002332
AT1G15500,-0.914185117
AT2G28240,-1.076362877
AT5G66140,-0.960576176
AT4G12510,-1.304385013
AT3G60750,-0.780626135
AT2G47990,-1.075794764
AT2G01140,-0.713222478
AT1G01300,-0.952717892
AT2G35100,-0.997627947
AT4G14548,-1.438248159
AT3G09710,-1.292147237
AT3G07430,-1.118835805
AT1G31950,-0.871331344
AT3G08670,-0.836346129
AT1G48930,-0.819803721
AT2G36400,-0.949381561
AT2G16485,-0.835158533
AT2G26420,-1.05755712
AT2G42840,-0.898001492
AT2G27810,-1.064245996
AT1G62500,-1.055525248
AT2G47730,-0.685497547
AT1G70710,-1.060130773
AT5G40870,-1.059219179
AT5G03140,-1.107835965
AT1G50120,-0.991411652
AT2G32300,-0.825995957
AT1G17370,-0.829093954
AT2G41220,-0.698009315
AT1G65060,-0.873741175
AT5G42720,-0.938560988
AT3G25500,-0.93455025
AT1G79870,-0.857575572
AT4G00730,-1.101478976
AT1G80240,-0.887358439
AT5G38640,-0.977575253
AT4G25790,-1.099623053
AT3G63460,-0.740418669
AT4G24520,-0.738856787
AT3G19120,-1.047669037
AT4G02110,-1.047105234
AT5G09530,-0.673932324
AT2G16440,-1.02032046
AT1G64190,-0.8153009
AT3G13440,-0.979016036
AT5G58550,-0.930921161
AT1G80490,-0.802595312
AT3G57650,-0.735361021
AT5G17820,-0.689785088
AT1G09560,-0.671861476
AT1G04430,-0.922961791
AT5G08680,-0.753205098
AT5G03260,-0.968957351
AT2G21170,-0.800209489
AT3G07770,-0.85994145
AT5G47030,-0.687398931
AT2G14255,-0.920026252
AT1G14850,-0.846346837
AT1G32580,-0.940367292
AT3G23510,-1.028746533
AT5G15780,-1.388680946
AT1G67090,-0.75945697
AT4G07410,-0.876559659
AT3G05680,-0.822748826
AT3G09540,-1.024139714
AT1G15690,-0.662675482
AT1G04680,-1.037867514
AT1G79830,-0.755654146
AT1G52660,-1.022385256
AT5G66850,-0.956174844
AT1G16610,-0.909628395
AT1G16190,-0.851362994
AT1G60200,-0.864856603
AT3G07660,-0.846888292
AT1G20330,-0.799004017
AT5G16390,-0.798426549
AT5G13580,-0.656634
AT3G13570,-0.947430039
AT2G35630,-0.746792595
AT5G14580,-1.364314844
AT5G05680,-0.992433727
AT2G34300,-0.797291907
AT1G33250,-0.827433736
AT2G42490,-0.713539743
AT3G23820,-0.790527997
AT1G12160,-1.013335104
AT4G26970,-0.6657659
AT4G39400,-0.788296344
AT3G46740,-0.897720038
AT5G03150,-0.901277083
AT1G08960,-1.002394288
AT1G20220,-0.85646162
AT5G13430,-0.739224209
AT3G20130,-0.983633476
AT3G09220,-0.725686856
AT1G75710,-1.00078088
AT3G02170,-0.981044153
AT2G33210,-0.911588356
AT2G23350,-0.778496602
AT2G25900,-0.831499982
AT4G16120,-0.977730044
AT5G38410,-0.889109436
AT1G07940,-0.84401692
AT2G34680,-0.88578971
AT1G64530,-0.888885048
AT3G07070,-0.989161212
AT1G65030,-1.040998346
AT3G63400,-0.932927991
AT2G37180,-0.770609636
AT1G14650,-0.790576379
AT5G02870,-0.761768134
AT3G18280,-0.696990901
AT2G27100,-0.769114394
AT4G31200,-0.967248502
AT1G72390,-0.776512821
AT1G05280,-0.921030736
AT5G38560,-0.839436718
AT1G09210,-0.710181513
AT4G37910,-0.769321353
AT2G29750,-0.773572178
AT5G07830,-0.764510042
AT1G50200,-0.755250795
AT5G26860,-0.871232433
AT3G01560,-0.914840385
AT5G66920,-0.799177699
AT1G49580,-0.827374583
AT5G23380,-0.8126174
AT5G61780,-0.686627332
AT5G62640,-0.83097808
AT1G12240,-0.751423493
AT2G42620,-0.795026911
AT3G06480,-0.916853682
AT3G44340,-0.749513953
AT4G28990,-1.174346385
AT2G47800,-0.637918555
