"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004017","MF","GO:0004017","adenylate kinase activity","2/620","11/22005",0.0368338897864432,0.45560350470336,0.430482509456559,"NA/AMK2",2
"GO:0045156","MF","GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","2/620","11/22005",0.0368338897864432,0.45560350470336,0.430482509456559,"PnsL3/PSBQ",2
"GO:0051536","MF","GO:0051536","iron-sulfur cluster binding","5/620","66/22005",0.0382628195475204,0.45560350470336,0.430482509456559,"ATCNFU3/FdC1/CLB4/FTRB/NA",5
"GO:0051540","MF","GO:0051540","metal cluster binding","5/620","66/22005",0.0382628195475204,0.45560350470336,0.430482509456559,"ATCNFU3/FdC1/CLB4/FTRB/NA",5
"GO:0140104","MF","GO:0140104","molecular carrier activity","3/620","27/22005",0.0394330890047667,0.45560350470336,0.430482509456559,"ACP4/ATCCS/ALB3",3
"GO:0046906","MF","GO:0046906","tetrapyrrole binding","18/620","407/22005",0.0408894860647427,0.45560350470336,0.430482509456559,"CYP71B4/CYP72A14/CYP71B12/APX6/CYP71B35/GUN4/SEP1/AB140/CYP97B3/TAPX/LHCB4.1/LHCB5/APX4/LHCB4.2/LHCA2/CYP71A22/LHB1B2/LHCB2",18
"GO:0000774","MF","GO:0000774","adenyl-nucleotide exchange factor activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"Fes1C/Fes1B",2
"GO:0004029","MF","GO:0004029","aldehyde dehydrogenase (NAD+) activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ALDH3/ALDH11A3",2
"GO:0004030","MF","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ALDH3/ALDH11A3",2
"GO:0004549","MF","GO:0004549","tRNA-specific ribonuclease activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"PRORP2/LIP2",2
"GO:0005375","MF","GO:0005375","copper ion transmembrane transporter activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"COPT2/emb1513",2
"GO:0017136","MF","GO:0017136","NAD-dependent histone deacetylase activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ATHDA5/ATHDA14",2
"GO:0031078","MF","GO:0031078","histone deacetylase activity (H3-K14 specific)","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ATHDA5/ATHDA14",2
"GO:0032041","MF","GO:0032041","NAD-dependent histone deacetylase activity (H3-K14 specific)","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ATHDA5/ATHDA14",2
"GO:0034979","MF","GO:0034979","NAD-dependent protein deacetylase activity","2/620","12/22005",0.0433908099717486,0.45560350470336,0.430482509456559,"ATHDA5/ATHDA14",2
