From	To	Species	Gene Name
246948_at	AT5G25130	Arabidopsis thaliana	cytochrome P450, family 71, subfamily B, polypeptide 12(CYP71B12)
264979_s_at	AT1G27170	Arabidopsis thaliana	transmembrane receptors / ATP binding protein(AT1G27170)
261550_at	AT1G63450	Arabidopsis thaliana	root hair specific 8(RHS8)
256444_at	AT3G11060	Arabidopsis thaliana	transmembrane protein(AT3G11060)
265628_at	AT2G27290	Arabidopsis thaliana	FAM210B-like protein, putative (DUF1279)(AT2G27290)
252188_at	AT3G50860	Arabidopsis thaliana	Clathrin adaptor complex small chain family protein(AT3G50860)
261549_at	AT1G63470	Arabidopsis thaliana	AT hook motif DNA-binding family protein(AT1G63470)
264498_at	AT1G30825	Arabidopsis thaliana	Arp2/3 complex, 34 kD subunit p34-Arc(DIS2)
248611_at	AT5G49520	Arabidopsis thaliana	WRKY DNA-binding protein 48(WRKY48)
247853_at	AT5G58140	Arabidopsis thaliana	phototropin 2(PHOT2)
249968_at	AT5G19070	Arabidopsis thaliana	SNARE associated Golgi protein family(AT5G19070)
246155_at	AT5G20030	Arabidopsis thaliana	Plant Tudor-like RNA-binding protein(AT5G20030)
248852_at	AT5G46560	Arabidopsis thaliana	Man1-Src1p-carboxy-terminal domain protein(AT5G46560)
254423_at	AT4G21610	Arabidopsis thaliana	lsd one like 2(LOL2)
247083_at	AT5G66290	Arabidopsis thaliana	hypothetical protein(AT5G66290)
258686_at	AT3G07840	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT3G07840)
260760_at	AT1G49170	Arabidopsis thaliana	hypothetical protein(AT1G49170)
252176_at	AT3G50720	Arabidopsis thaliana	Protein kinase superfamily protein(AT3G50720)
247600_at	AT5G60890	Arabidopsis thaliana	myb domain protein 34(MYB34)
245820_at	AT1G26320	Arabidopsis thaliana	Zinc-binding dehydrogenase family protein(AT1G26320)
254676_at	AT4G18460	Arabidopsis thaliana	D-Tyr-tRNA(Tyr) deacylase family protein(AT4G18460)
254328_at	AT4G22570	Arabidopsis thaliana	adenine phosphoribosyl transferase 3(APT3)
246143_at	AT5G19980	Arabidopsis thaliana	golgi nucleotide sugar transporter 4(GONST4)
