From	To	Species	Gene Name
257886_at	AT3G17060	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT3G17060)
257645_at	AT3G25790	Arabidopsis thaliana	myb-like transcription factor family protein(AT3G25790)
260815_at	AT1G06950	Arabidopsis thaliana	translocon at the inner envelope membrane of chloroplasts 110(TIC110)
257404_at	AT1G04050	Arabidopsis thaliana	histone-lysine N-methyltransferase SUVR2-like protein(SUVR1)
253042_at	AT4G37550	Arabidopsis thaliana	Acetamidase/Formamidase family protein(AT4G37550)
259826_at	AT1G29340	Arabidopsis thaliana	plant U-box 17(PUB17)
254379_at	AT4G21820	Arabidopsis thaliana	binding / calmodulin binding protein(AT4G21820)
261900_at	AT1G80940	Arabidopsis thaliana	Snf1 kinase interactor-like protein(AT1G80940)
258730_at	AT3G11730	Arabidopsis thaliana	Ras-related small GTP-binding family protein(ATFP8)
254138_at	AT4G24950	Arabidopsis thaliana	transmembrane protein(AT4G24950)
256319_at	AT1G35910	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(TPPD)
253283_at	AT4G34090	Arabidopsis thaliana	cyclin delta-3(AT4G34090)
258971_at	AT3G01990	Arabidopsis thaliana	ACT domain repeat 6(ACR6)
266122_at	AT2G02090	Arabidopsis thaliana	SNF2 domain-containing protein / helicase domain-containing protein(ETL1)
246746_at	AT5G27820	Arabidopsis thaliana	Ribosomal L18p/L5e family protein(AT5G27820)
246987_at	AT5G67300	Arabidopsis thaliana	myb domain protein r1(MYBR1)
263097_at	AT2G16070	Arabidopsis thaliana	plastid division2(PDV2)
266363_at	AT2G41250	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G41250)
246505_at	AT5G16250	Arabidopsis thaliana	transmembrane protein(AT5G16250)
264182_at	AT1G65360	Arabidopsis thaliana	AGAMOUS-like 23(AGL23)
248927_at	AT5G45900	Arabidopsis thaliana	ThiF family protein(APG7)
266351_at	AT2G01490	Arabidopsis thaliana	phytanoyl-CoA dioxygenase (PhyH) family protein(PAHX)
247843_at	AT5G58050	Arabidopsis thaliana	SHV3-like 4(SVL4)
246758_at	AT5G27850	Arabidopsis thaliana	Ribosomal protein L18e/L15 superfamily protein(AT5G27850)
267206_at	AT2G30830	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G30830)
245421_at	AT4G17430	Arabidopsis thaliana	O-fucosyltransferase family protein(AT4G17430)
257633_at	AT3G26125	Arabidopsis thaliana	cytochrome P450, family 86, subfamily C, polypeptide 2(CYP86C2)
258501_at	AT3G06780	Arabidopsis thaliana	glycine-rich protein(AT3G06780)
253054_at	AT4G37580	Arabidopsis thaliana	Acyl-CoA N-acyltransferases (NAT) superfamily protein(HLS1)
256790_at	AT3G16857	Arabidopsis thaliana	response regulator 1(RR1)
254126_at	AT4G24770	Arabidopsis thaliana	31-kDa RNA binding protein(RBP31)
265037_at	AT1G03860	Arabidopsis thaliana	prohibitin 2(PHB2)
256548_at	AT3G14770	Arabidopsis thaliana	Nodulin MtN3 family protein(SWEET2)
245650_at	AT1G24735	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G24735)
258983_at	AT3G08860	Arabidopsis thaliana	PYRIMIDINE 4(PYD4)
267459_at	AT2G33850	Arabidopsis thaliana	E6-like protein(AT2G33850)
265266_at	AT2G42890	Arabidopsis thaliana	MEI2-like 2(ML2)
266109_at	AT2G37890	Arabidopsis thaliana	Mitochondrial substrate carrier family protein(AT2G37890)
246734_at	AT5G27680	Arabidopsis thaliana	RECQ helicase SIM(RECQSIM)
248940_at	AT5G45400	Arabidopsis thaliana	Replication factor-A protein 1-like protein(RPA70C)
245649_at	AT1G24706	Arabidopsis thaliana	THO2(THO2)
245408_at	AT4G17180	Arabidopsis thaliana	O-Glycosyl hydrolases family 17 protein(AT4G17180)
247855_at	AT5G58210	Arabidopsis thaliana	hydroxyproline-rich glycoprotein family protein(AT5G58210)
247614_at	AT5G60240	Arabidopsis thaliana	hypothetical protein(AT5G60240)
265254_at	AT2G28380	Arabidopsis thaliana	dsRNA-binding protein 2(DRB2)
252186_at	AT3G50808	Arabidopsis thaliana	PLATZ transcription factor family protein(AT3G50808)
257657_at	AT3G13235	Arabidopsis thaliana	ubiquitin family protein(DDI1)
259838_at	AT1G52220	Arabidopsis thaliana	CURVATURE THYLAKOID protein(AT1G52220)
245623_s_at	AT4G14096	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT4G14096)
254392_at	AT4G21600	Arabidopsis thaliana	endonuclease 5(ENDO5)
255452_at	AT4G02880	Arabidopsis thaliana	ELKS/Rab6-interacting/CAST family protein(AT4G02880)
267435_at	AT2G33800	Arabidopsis thaliana	Ribosomal protein S5 family protein(EMB3113)
245674_at	AT1G56680	Arabidopsis thaliana	Chitinase family protein(AT1G56680)
264169_at	AT1G02020	Arabidopsis thaliana	nitroreductase family protein(AT1G02020)
266110_at	AT2G02080	Arabidopsis thaliana	indeterminate(ID)-domain 4(IDD4)
257621_at	AT3G20410	Arabidopsis thaliana	calmodulin-domain protein kinase 9(CPK9)
260839_at	AT1G43690	Arabidopsis thaliana	ubiquitin interaction motif-containing protein(AT1G43690)
255488_at	AT4G02630	Arabidopsis thaliana	Protein kinase superfamily protein(AT4G02630)
246999_at	AT5G67440	Arabidopsis thaliana	Phototropic-responsive NPH3 family protein(NPY3)
258513_at	AT3G06630	Arabidopsis thaliana	protein kinase family protein(AT3G06630)
264170_at	AT1G02260	Arabidopsis thaliana	Divalent ion symporter(AT1G02260)
245131_s_at	AT2G45330	Arabidopsis thaliana	RNA 2'-phosphotransferase, Tpt1 / KptA family(emb1067)
247818_at	AT5G58370	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G58370)
257428_at	AT1G78990	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(AT1G78990)
263085_at	AT2G16090	Arabidopsis thaliana	RING/U-box superfamily protein(ARI2)
256573_at	AT3G14860	Arabidopsis thaliana	NHL domain-containing protein(AT3G14860)
261924_at	AT1G22550	Arabidopsis thaliana	Major facilitator superfamily protein(AT1G22550)
256536_at	AT1G33330	Arabidopsis thaliana	Class I peptide chain release factor(AT1G33330)
255681_at	AT4G00550	Arabidopsis thaliana	digalactosyl diacylglycerol deficient 2(DGD2)
265291_at	AT2G22720	Arabidopsis thaliana	SPT2 chromatin protein(AT2G22720)
248939_at	AT5G45790	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(AT5G45790)
254367_at	AT4G21700	Arabidopsis thaliana	DUF2921 family protein, putative (DUF2921)(AT4G21700)
248903_at	AT5G46290	Arabidopsis thaliana	3-ketoacyl-acyl carrier protein synthase I(KASI)
246530_at	AT5G15725	Arabidopsis thaliana	transmembrane protein(AT5G15725)
260803_at	AT1G78340	Arabidopsis thaliana	glutathione S-transferase TAU 22(GSTU22)
267460_at	AT2G33810	Arabidopsis thaliana	squamosa promoter binding protein-like 3(SPL3)
256307_at	AT1G30350	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT1G30350)
267231_at	AT2G43900	Arabidopsis thaliana	Endonuclease/exonuclease/phosphatase family protein(5PTase12)
258742_at	AT3G05800	Arabidopsis thaliana	AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1(AIF1)
265025_at	AT1G24575	Arabidopsis thaliana	DEAD-box ATP-dependent RNA helicase-like protein(AT1G24575)
245878_at	AT1G26190	Arabidopsis thaliana	Phosphoribulokinase / Uridine kinase family(AT1G26190)
254596_at	AT4G18975	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT4G18975)
263061_at	AT2G18190	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G18190)
253017_at	AT4G37970	Arabidopsis thaliana	cinnamyl alcohol dehydrogenase 6(CAD6)
245445_at	AT4G16750	Arabidopsis thaliana	Integrase-type DNA-binding superfamily protein(AT4G16750)
245686_at	AT5G22060	Arabidopsis thaliana	DNAJ homologue 2(J2)
254343_at	AT4G21990	Arabidopsis thaliana	APS reductase 3(APR3)
248711_at	AT5G48270	Arabidopsis thaliana	DUF868 family protein (DUF868)(AT5G48270)
258766_at	AT3G10700	Arabidopsis thaliana	galacturonic acid kinase(GalAK)
256988_s_at	AT3G28710	Arabidopsis thaliana	ATPase, V0/A0 complex, subunit C/D(AT3G28710)
247806_at	AT5G58270	Arabidopsis thaliana	ABC transporter of the mitochondrion 3(ABCB25)
264398_at	AT1G61730	Arabidopsis thaliana	DNA-binding storekeeper protein-related transcriptional regulator(AT1G61730)
256585_at	AT3G28760	Arabidopsis thaliana	3-dehydroquinate synthase(AT3G28760)
256524_at	AT1G66200	Arabidopsis thaliana	hypothetical protein(GSR2)
267423_at	AT2G35060	Arabidopsis thaliana	K+ uptake permease 11(KUP11)
258705_at	AT3G09470	Arabidopsis thaliana	Major facilitator superfamily protein(AT3G09470)
253499_at	AT4G31900	Arabidopsis thaliana	chromatin remodeling factor(PKR2)
247867_at	AT5G57630	Arabidopsis thaliana	CBL-interacting protein kinase 21(CIPK21)
259610_at	AT1G52320	Arabidopsis thaliana	kinesin-like protein(AT1G52320)
265242_at	AT2G07705	Arabidopsis thaliana	hypothetical protein(AT2G07705)
258946_at	AT3G10650	Arabidopsis thaliana	nuclear pore complex protein(NUP1)
266158_at	AT2G28070	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG3)
246542_at	AT5G15020	Arabidopsis thaliana	SIN3-like 2(SNL2)
259802_at	AT1G72260	Arabidopsis thaliana	thionin 2.1(THI2.1)
258754_at	AT3G11920	Arabidopsis thaliana	glutaredoxin-like protein(AT3G11920)
256777_at	AT3G13780	Arabidopsis thaliana	SMAD/FHA domain-containing protein(AT3G13780)
256332_at	AT1G76890	Arabidopsis thaliana	Duplicated homeodomain-like superfamily protein(GT2)
265050_at	AT1G52070	Arabidopsis thaliana	Mannose-binding lectin superfamily protein(AT1G52070)
259609_at	AT1G52410	Arabidopsis thaliana	TSK-associating protein 1(TSA1)
247879_at	AT5G57770	Arabidopsis thaliana	auxin canalization protein (DUF828)(AT5G57770)
255260_at	AT4G05040	Arabidopsis thaliana	ankyrin repeat family protein(AT4G05040)
255018_at	AT4G10090	Arabidopsis thaliana	elongator protein 6(ELP6)
257849_at	AT3G13060	Arabidopsis thaliana	evolutionarily conserved C-terminal region 5(ECT5)
265495_at	AT2G15695	Arabidopsis thaliana	peptide methionine sulfoxide reductase (Protein of unknown function DUF829, transmembrane 53)(AT2G15695)
252162_at	AT3G50590	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT3G50590)
263073_at	AT2G17500	Arabidopsis thaliana	Auxin efflux carrier family protein(AT2G17500)
261936_at	AT1G22600	Arabidopsis thaliana	Late embryogenesis abundant protein (LEA) family protein(AT1G22600)
245637_at	AT1G25230	Arabidopsis thaliana	Calcineurin-like metallo-phosphoesterase superfamily protein(AT1G25230)
267472_at	AT2G02850	Arabidopsis thaliana	plantacyanin(ARPN)
254355_at	AT4G22380	Arabidopsis thaliana	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein(AT4G22380)
266567_at	AT2G24050	Arabidopsis thaliana	MIF4G domain-containing protein / MA3 domain-containing protein(eIFiso4G2)
248915_at	AT5G45690	Arabidopsis thaliana	histone acetyltransferase (DUF1264)(AT5G45690)
265049_at	AT1G52060	Arabidopsis thaliana	Mannose-binding lectin superfamily protein(AT1G52060)
256597_at	AT3G28500	Arabidopsis thaliana	60S acidic ribosomal protein family(AT3G28500)
248851_s_at	AT5G46260	Arabidopsis thaliana	disease resistance protein (TIR-NBS-LRR class) family(AT5G46260)
256512_at	AT1G33265	Arabidopsis thaliana	Transmembrane proteins 14C(AT1G33265)
261948_at	AT1G64680	Arabidopsis thaliana	beta-carotene isomerase D27(AT1G64680)
261912_s_at	AT1G66000	Arabidopsis thaliana	hypothetical protein (DUF577)(AT1G66000)
253487_at	AT4G31700	Arabidopsis thaliana	ribosomal protein S6(RPS6)
264194_at	AT1G22720	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G22720)
259622_at	AT1G43010	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT1G43010)
252402_s_at	AT3G48050	Arabidopsis thaliana	protein SUO(SUO)
246554_at	AT5G15450	Arabidopsis thaliana	casein lytic proteinase B3(CLPB3)
260827_at	AT1G06750	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06750)
253029_at	AT4G38170	Arabidopsis thaliana	FAR1-related sequence 9(FRS9)
254151_at	AT4G24390	Arabidopsis thaliana	RNI-like superfamily protein(AFB4)
245433_at	AT4G17140	Arabidopsis thaliana	pleckstrin homology (PH) domain-containing protein(AT4G17140)
267014_at	AT2G39170	Arabidopsis thaliana	MEF2BNB-like protein(AT2G39170)
255619_s_at	AT4G01350	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT4G01350)
253030_at	AT4G38180	Arabidopsis thaliana	FAR1-related sequence 5(FRS5)
255272_at	AT4G05270	Arabidopsis thaliana	Ubiquitin-like superfamily protein(AT4G05270)
260623_at	AT1G08090	Arabidopsis thaliana	nitrate transporter 2:1(NRT2:1)
257837_at	AT3G25200	Arabidopsis thaliana	hypothetical protein(AT3G25200)
252174_at	AT3G50690	Arabidopsis thaliana	Leucine-rich repeat (LRR) family protein(AT3G50690)
255006_at	AT4G10010	Arabidopsis thaliana	Protein kinase superfamily protein(AT4G10010)
264386_at	AT1G12000	Arabidopsis thaliana	Phosphofructokinase family protein(AT1G12000)
247409_at	AT5G62980	Arabidopsis thaliana	Dihydroneopterin aldolase(FOLB2)
245625_at	AT4G14160	Arabidopsis thaliana	Sec23/Sec24 protein transport family protein(AT4G14160)
258958_at	AT3G01390	Arabidopsis thaliana	vacuolar membrane ATPase 10(VMA10)
251053_at	AT5G01490	Arabidopsis thaliana	cation exchanger 4(CAX4)
256127_at	AT1G18200	Arabidopsis thaliana	Rab GTPase-like A1I protein(RABA6b)
267484_at	AT2G02760	Arabidopsis thaliana	ubiquiting-conjugating enzyme 2(UBC2)
267411_at	AT2G34930	Arabidopsis thaliana	disease resistance family protein / LRR family protein(AT2G34930)
256982_at	AT3G13460	Arabidopsis thaliana	evolutionarily conserved C-terminal region 2(ECT2)
266555_at	AT2G46270	Arabidopsis thaliana	G-box binding factor 3(GBF3)
251905_at	AT3G53710	Arabidopsis thaliana	ARF-GAP domain 6(AGD6)
257441_at	AT2G04020	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT2G04020)
259814_at	AT1G49900	Arabidopsis thaliana	C2H2 type zinc finger transcription factor family(AT1G49900)
245698_at	AT5G04160	Arabidopsis thaliana	Nucleotide-sugar transporter family protein(AT5G04160)
256789_at	AT3G13672	Arabidopsis thaliana	TRAF-like superfamily protein(AT3G13672)
245891_at	AT5G09220	Arabidopsis thaliana	amino acid permease 2(AAP2)
248723_at	AT5G47950	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(AT5G47950)
253295_at	AT4G33760	Arabidopsis thaliana	tRNA synthetase class II (D, K and N) family protein(AT4G33760)
247602_at	AT5G60900	Arabidopsis thaliana	receptor-like protein kinase 1(RLK1)
256320_at	AT3G12170	Arabidopsis thaliana	Chaperone DnaJ-domain superfamily protein(AT3G12170)
267218_at	AT2G02515	Arabidopsis thaliana	hypothetical protein(AT2G02515)
263277_at	AT2G14110	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT2G14110)
263036_at	AT1G23890	Arabidopsis thaliana	NHL domain-containing protein(AT1G23890)
247410_at	AT5G62990	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(emb1692)
250821_at	AT5G05190	Arabidopsis thaliana	hypothetical protein (DUF3133)(AT5G05190)
249832_at	AT5G23400	Arabidopsis thaliana	Leucine-rich repeat (LRR) family protein(AT5G23400)
245842_at	AT1G58430	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase family protein(RXF26)
265699_at	AT2G03550	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G03550)
248747_at	AT5G47930	Arabidopsis thaliana	Zinc-binding ribosomal protein family protein(AT5G47930)
245601_at	AT4G14240	Arabidopsis thaliana	CBS domain protein with a domain protein (DUF21)(AT4G14240)
264362_at	AT1G03290	Arabidopsis thaliana	ELKS/Rab6-interacting/CAST family protein(AT1G03290)
267639_at	AT2G42200	Arabidopsis thaliana	squamosa promoter binding protein-like 9(SPL9)
248506_at	AT5G50370	Arabidopsis thaliana	Adenylate kinase family protein(AT5G50370)
267267_at	AT2G02580	Arabidopsis thaliana	cytochrome P450, family 71, subfamily B, polypeptide 9(CYP71B9)
257465_at	AT1G13040	Arabidopsis thaliana	Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G13040)
254560_at	AT4G19110	Arabidopsis thaliana	Protein kinase superfamily protein(AT4G19110)
258791_at	AT3G04720	Arabidopsis thaliana	pathogenesis-related 4(PR4)
257862_s_at	AT3G17720	Arabidopsis thaliana	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT3G17720)
254559_at	AT4G19200	Arabidopsis thaliana	proline-rich family protein(AT4G19200)
254318_at	AT4G22530	Arabidopsis thaliana	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G22530)
266302_at	AT2G27050	Arabidopsis thaliana	ETHYLENE-INSENSITIVE3-like 1(EIL1)
245989_s_at	AT5G03240	Arabidopsis thaliana	polyubiquitin 3(UBQ3)
262804_at	AT1G20880	Arabidopsis thaliana	RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G20880)
257453_at	AT1G65130	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase-related protein(AT1G65130)
251294_at	AT3G61940	Arabidopsis thaliana	Cation efflux family protein(MTPA1)
258910_at	AT3G06480	Arabidopsis thaliana	DEAD box RNA helicase family protein(AT3G06480)
245830_at	AT1G57790	Arabidopsis thaliana	F-box family protein(AT1G57790)
255885_at	AT1G20330	Arabidopsis thaliana	sterol methyltransferase 2(SMT2)
257224_at	AT3G27870	Arabidopsis thaliana	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein(AT3G27870)
254199_at	AT4G24100	Arabidopsis thaliana	Protein kinase superfamily protein(AT4G24100)
266314_at	AT2G27040	Arabidopsis thaliana	Argonaute family protein(AGO4)
266171_at	AT2G38880	Arabidopsis thaliana	nuclear factor Y, subunit B1(NF-YB1)
251043_s_at	AT5G02340	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT5G02340)
246938_at	AT5G25380	Arabidopsis thaliana	cyclin a2;1(CYCA2;1)
263024_at	AT1G23980	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G23980)
248735_at	AT5G48100	Arabidopsis thaliana	Laccase/Diphenol oxidase family protein(TT10)
251041_at	AT5G02310	Arabidopsis thaliana	proteolysis 6(PRT6)
267279_at	AT2G19460	Arabidopsis thaliana	DUF3511 domain protein (DUF3511)(AT2G19460)
264374_at	AT2G25180	Arabidopsis thaliana	response regulator 12(RR12)
256970_at	AT3G21090	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG15)
253234_at	AT4G34265	Arabidopsis thaliana	hypothetical protein(AT4G34265)
255656_at	AT4G00990	Arabidopsis thaliana	Transcription factor jumonji (jmjC) domain-containing protein(AT4G00990)
256139_at	AT1G48660	Arabidopsis thaliana	Auxin-responsive GH3 family protein(AT1G48660)
245228_at	AT3G29810	Arabidopsis thaliana	COBRA-like protein 2 precursor(COBL2)
256140_at	AT1G48650	Arabidopsis thaliana	DEA(D/H)-box RNA helicase family protein(AT1G48650)
255873_at	AT2G30340	Arabidopsis thaliana	LOB domain-containing protein 13(LBD13)
251270_at	AT3G62370	Arabidopsis thaliana	heme binding protein(AT3G62370)
258934_at	AT3G10140	Arabidopsis thaliana	RECA homolog 3(RECA3)
254175_at	AT4G24050	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT4G24050)
256969_at	AT3G21080	Arabidopsis thaliana	ABC transporter-like protein(AT3G21080)
253246_at	AT4G34600	Arabidopsis thaliana	transmembrane protein(AT4G34600)
253005_at	AT4G38100	Arabidopsis thaliana	CURVATURE THYLAKOID 1D-like protein(AT4G38100)
260611_at	AT2G43670	Arabidopsis thaliana	Carbohydrate-binding X8 domain superfamily protein(AT2G43670)
246795_at	AT5G27020	Arabidopsis thaliana	hypothetical protein(AT5G27020)
263289_at	AT2G36170	Arabidopsis thaliana	60S ribosomal protein L40-1(AT2G36170)
264108_at	AT2G13680	Arabidopsis thaliana	callose synthase 5(CALS5)
249820_at	AT5G23650	Arabidopsis thaliana	Homeodomain-like transcriptional regulator(AT5G23650)
262714_s_at	AT1G07950	Arabidopsis thaliana	Surfeit locus protein 5 subunit 22 of Mediator complex(MED22B)
245613_at	AT4G14450	Arabidopsis thaliana	hypothetical protein(AT4G14450)
248518_at	AT5G50560	Arabidopsis thaliana	transmembrane protein, putative (DUF 3339)(AT5G50560)
264591_at	AT2G17670	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G17670)
267496_at	AT2G30550	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G30550)
250833_at	AT5G04540	Arabidopsis thaliana	Myotubularin-like phosphatases II superfamily(MTM2)
257236_at	AT3G15095	Arabidopsis thaliana	Serine/Threonine-kinase pakA-like protein(HCF243)
266183_at	AT2G38940	Arabidopsis thaliana	phosphate transporter 1;4(PHT1;4)
261072_at	AT1G07340	Arabidopsis thaliana	sugar transporter 2(STP2)
246926_at	AT5G25240	Arabidopsis thaliana	stress induced protein(AT5G25240)
246108_at	AT5G28630	Arabidopsis thaliana	glycine-rich protein(AT5G28630)
250808_at	AT5G05150	Arabidopsis thaliana	autophagy-related protein 18E(G18E)
258549_at	AT3G06930	Arabidopsis thaliana	protein arginine methyltransferase 4B(PRMT4B)
245216_at	AT4G16143	Arabidopsis thaliana	importin alpha isoform 2(IMPA-2)
255644_at	AT4G00870	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT4G00870)
255259_at	AT4G05020	Arabidopsis thaliana	NAD(P)H dehydrogenase B2(NDB2)
252354_at	AT3G48170	Arabidopsis thaliana	aldehyde dehydrogenase 10A9(ALDH10A9)
262816_at	AT1G11780	Arabidopsis thaliana	oxidoreductase, 2OG-Fe(II) oxygenase family protein(AT1G11780)
259863_at	AT1G72630	Arabidopsis thaliana	ELF4-like 2(ELF4-L2)
247422_at	AT5G62810	Arabidopsis thaliana	peroxin 14(PEX14)
257850_at	AT3G13062	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT3G13062)
251269_at	AT3G62360	Arabidopsis thaliana	Carbohydrate-binding-like fold(AT3G62360)
258909_at	AT3G06340	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(AT3G06340)
245482_at	AT4G16180	Arabidopsis thaliana	transmembrane protein(AT4G16180)
263901_at	AT2G36320	Arabidopsis thaliana	A20/AN1-like zinc finger family protein(AT2G36320)
263012_at	AT1G23380	Arabidopsis thaliana	homeobox protein knotted-1-like 6(KNAT6)
267627_at	AT2G42270	Arabidopsis thaliana	U5 small nuclear ribonucleoprotein helicase(AT2G42270)
260876_at	AT1G21460	Arabidopsis thaliana	Nodulin MtN3 family protein(SWEET1)
260840_at	AT1G29050	Arabidopsis thaliana	TRICHOME BIREFRINGENCE-LIKE 38(TBL38)
259851_at	AT1G72250	Arabidopsis thaliana	Di-glucose binding protein with Kinesin motor domain-containing protein(AT1G72250)
249807_at	AT5G23870	Arabidopsis thaliana	Pectinacetylesterase family protein(AT5G23870)
246902_at	AT5G25640	Arabidopsis thaliana	Rhomboid-related intramembrane serine protease family protein(AT5G25640)
248772_at	AT5G47800	Arabidopsis thaliana	Phototropic-responsive NPH3 family protein(AT5G47800)
258525_at	AT3G06810	Arabidopsis thaliana	acyl-CoA dehydrogenase-like protein(IBR3)
252459_s_at	AT3G47220	Arabidopsis thaliana	phosphatidylinositol-speciwc phospholipase C9(PLC9)
254584_at	AT4G19490	Arabidopsis thaliana	VPS54(VPS54)
266579_at	AT2G23930	Arabidopsis thaliana	Putative small nuclear ribonucleoprotein G(SNRNP-G)
257489_at	AT1G07330	Arabidopsis thaliana	dentin sialophosphoprotein(AT1G07330)
265663_at	AT2G24290	Arabidopsis thaliana	ubiquitin-associated protein (DUF1068)(AT2G24290)
252595_at	AT3G45690	Arabidopsis thaliana	Major facilitator superfamily protein(AT3G45690)
252344_s_at	AT3G44160	Arabidopsis thaliana	Outer membrane OMP85 family protein(AT3G44160)
255620_at	AT4G01380	Arabidopsis thaliana	plastocyanin-like domain-containing protein(AT4G01380)
247446_at	AT5G62650	Arabidopsis thaliana	Tic22-like family protein(AT5G62650)
264337_at	AT1G70350	Arabidopsis thaliana	hypothetical protein(AT1G70350)
245204_at	AT5G12270	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G12270)
261503_at	AT1G71691	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G71691)
253258_at	AT4G34400	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(AT4G34400)
265001_at	AT1G67350	Arabidopsis thaliana	NADH-ubiquinone oxidoreductase(AT1G67350)
265675_at	AT2G32120	Arabidopsis thaliana	heat-shock protein 70T-2(HSP70T-2)
247434_at	AT5G62575	Arabidopsis thaliana	succinate dehydrogenase subunit(SDH7)
261664_s_at	AT3G10110	Arabidopsis thaliana	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein(MEE67)
267243_at	AT2G02660	Arabidopsis thaliana	F-box associated ubiquitination effector family protein(AT2G02660)
246529_at	AT5G15730	Arabidopsis thaliana	Protein kinase superfamily protein(CRLK2)
261060_at	AT1G17340	Arabidopsis thaliana	Phosphoinositide phosphatase family protein(AT1G17340)
266338_at	AT2G32400	Arabidopsis thaliana	glutamate receptor 5(GLR5)
262841_at	AT1G14810	Arabidopsis thaliana	semialdehyde dehydrogenase family protein(AT1G14810)
253268_s_at	AT4G34131	Arabidopsis thaliana	UDP-glucosyl transferase 73B3(UGT73B3)
251028_at	AT5G02230	Arabidopsis thaliana	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT5G02230)
256152_at	AT1G55150	Arabidopsis thaliana	DEA(D/H)-box RNA helicase family protein(RH20)
256957_at	AT3G13420	Arabidopsis thaliana	transmembrane protein(AT3G13420)
266580_at	AT2G46260	Arabidopsis thaliana	BTB/POZ/Kelch-associated protein(LRB1)
262828_at	AT1G14950	Arabidopsis thaliana	Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G14950)
252342_at	AT3G48950	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT3G48950)
257477_at	AT1G10660	Arabidopsis thaliana	transmembrane protein(AT1G10660)
254572_at	AT4G19380	Arabidopsis thaliana	Long-chain fatty alcohol dehydrogenase family protein(AT4G19380)
265013_at	AT1G24460	Arabidopsis thaliana	TGN-related, localized SYP41 interacting protein(TNO1)
266988_at	AT2G39310	Arabidopsis thaliana	jacalin-related lectin 22(JAL22)
254306_at	AT4G22330	Arabidopsis thaliana	Alkaline phytoceramidase (aPHC)(ATCES1)
266195_at	AT2G39100	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G39100)
246914_at	AT5G25860	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT5G25860)
260852_at	AT1G21900	Arabidopsis thaliana	emp24/gp25L/p24 family/GOLD family protein(p24delta5)
