GeneID	RF01	RF02	RF03	RF04	RF05	RF06	RF07	RF08	RF09	RF10	RF11	RF12
AT5G44190	4041	4979	4127	1985	2028	1781	2527	2604	2148	1024	1108	844
AT5G44200	749	837	802	1061	975	1044	633	675	546	937	939	1001
AT5G44210	44	57	80	81	100	101	44	44	19	102	96	106
AT5G44220	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44230	98	125	159	146	112	105	64	91	104	138	150	145
AT5G44240	921	935	1330	1224	1249	1420	1443	1350	1194	1820	1455	1440
AT5G44250	502	536	599	687	599	549	638	664	587	519	487	424
AT5G44255	9	8	13	26	40	25	0	0	0	1	0	2
AT5G44260	646	489	562	490	403	327	395	532	439	337	227	317
AT5G44265	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44270	1	0	0	3	1	1	0	0	0	0	2	0
AT5G44280	275	216	301	271	201	321	214	280	204	398	282	403
AT5G44286	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44290	1475	1532	1806.999	1553	1443	1748	2719	2648.001	2333.001	1725	1441	1331
AT5G44300	0	0	0	0	0	0	0	0	0	2	0	0
AT5G44306	0	0	0	0	0	3	1	4	2	2	1	0
AT5G44310	190	228	328	103	18	61	5	10	5	1911	934	1785
AT5G44313	0	4	0	0	0	0	11.005	12	6	0	1	0
AT5G44316	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44320	1673	1597	1828	1824	1842	1793	1482	1514	1337	2300	2174	2282
AT5G44330	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44340	12690.828	11052	12524	6209	6538	5818	10893	11372	10014	11609	10461	10078
AT5G44345	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44350	39	42	51	42	70	72	35	45	19	90	103	172
AT5G44360	0	0	0	4	0	6	0	0	0	33	19	41
AT5G44370	212	260	288	259	249	257	232	225	217	415	427	352
AT5G44380	1636	1441	1988	1851	1897	2142	5477	5083	4873	6478	5938	4047
AT5G44390	102	113	118	79	57	112	316	280	246	191	201	179
AT5G44400	42	82	47	273	207	403	79	63	52	571	562	579
AT5G44410	457	459	498	245	248	221	225	270	207	279	339	220
AT5G44415	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44416	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44417	104	37	122	93	66	77	835	648	661	44	39	62
AT5G44418	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44420	0	0	0	1	0	1	0	0	0	0	0	1
AT5G44430	0	0	0	0	0	2	2	0	0	0	2	4
AT5G44440	9	3	17	195	320	219	0	2	0	249	192	35
AT5G44450	398	517	530	528	477	489	360	405	318	457	454	428
AT5G44460	62	36	56	56	41	57	37	48	27	79	60	51
AT5G44470	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44480	157	150	284	232	236	298	208	225	201	461	345	353
AT5G44490	42	56	56	69	67	38	13	32	10	23	32	19
AT5G44495	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44500	170	144	169	204	175	223	120	101	102	263	289	312
AT5G44510	969	927	1295	591	535	614	902	941	742	568	558	473
AT5G44520	943	1150	1125	574	561	450	592	711	570	307	287	270
AT5G44530	657	792	931	899	761	836	347	357	255	521	444	508
AT5G44540	0	0	9	3	1	4	0	0	5	6	1	0
AT5G44550	202	199	195	632	732	864	360	342	258	980	857	914
AT5G44555	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44560	118.737	151	160	494.658	435.282	446.524	66.948	51.482	35	402.81	361.849	425.055
AT5G44562	3.263	0	0	7.342	8.718	9.476	1.052	4.518	0	5.19	3.151	4.945
AT5G44565	0	6	2	17	9	8	2	3	0	2	1	4
AT5G44568	10	10	22	78	55	108	330	222	127	35	33	50
AT5G44569	45	65	49	61	54	52	56	63	46	52	47	60
AT5G44570	1	0	0	9	3	14	2	0	1	2	2	4
AT5G44572	378	437	404	261	229	209	1298	1312	1220	110	110	80
AT5G44574	40	48	32	25	28	19	90	113	111	91	90	70
AT5G44575	36	55	35	42	23	39	428	376	329	24	21	36
AT5G44578	24	26	24	162	185	180	28	24	25	220	227	204
AT5G44580	2212	2754	2195	3121	2575	2958	2499	2459	2091	2293	2211	2412
AT5G44582	68	66	101	82	72	112	92	65	88	26	44	49
AT5G44585	177	153	188	29	24	42	812	972	818	17	7	10
AT5G44590	11	13	6	2	3	3	11	5	7	0	0	1
AT5G44600	159	173	139	255	241	217	94	106	65	139	148	156
AT5G44610	717	665	922	493	486	675	2657	2631	2635	1349	1097	833
AT5G44620	8	6	10	7	11	18	7	4	6	6	12	10
AT5G44630	0	0	0	0	0	0	1	2	2	0	0	0
AT5G44635	222	197	292	333	319	245	136	105	75	409	468	398
AT5G44640	0	0	2	0	0	0	0	0	0	0	0	0
AT5G44650	2281	2587	2267	1793	1505	1334	1446	1591	1440	1168	1305	1044
AT5G44660	730	799	803	506	496	473	490	568	395	361	318	318
AT5G44670	293	266	351	392	423	500	809	970	859	1083	1012	1051
AT5G44680	2187	2340	2368	1393	1294	886	413	464	359	426	416	380
AT5G44690	3	1	2	0	0	2	0	0	0	1	0	2
AT5G44700	73	56	71	33	36	40	47	54	57	69	66	43
AT5G44710	225	269	259	303	348	346	185	198	151	377	353	414
AT5G44720	400	407	429	961	1053	1079	356	314	234	1323	1194	1277
AT5G44730	226	244	220	505	493	474	211	186	144	440	612	474
AT5G44740	126	124	134	186	137	155	110	97	106	200	163	189
AT5G44750	1195	1299	1783	1295	1094	1374	1494	1710	1367	1172	1016	1132
AT5G44760	0	0	2	0	0	0	0	0	0	0	0	0
AT5G44770	8	9	10	6	8	10	3	1	0	8	6	6
AT5G44780	146	126	191	152	147	183	114	99	58	276	293	274
AT5G44785	498	541	502	669	578	554	437	424	395	545	548	603
AT5G44790	3619	3148	4248	2613	2602	2819	4086	4110	3573	3655	3181	3145
AT5G44800	2345	2053	3169	1804	1838	1802	1940	2176	1832	2206	1993	2092
AT5G44820	54	43	55	90	108	171	159	121	73	189	168	147
AT5G44830	0	0	0	0	0	0	0	0	0	0	0	0
AT5G44840	0	0	0	0	0	0	0	0	0	0	0	0
