GeneID	RF01	RF02	RF03	RF04	RF05	RF06	RF07	RF08	RF09	RF10	RF11	RF12
AT1G01010	173	131	201	170	148	198	286	305	327	415	290	300
AT1G01020	246	235	281	367	284	370	257	215	200	218	160	226
AT1G01030	108	146	144	111	111	112	64	74	49	71	92	78
AT1G01040	1569	1429	2053	1327	1236	1446	1434	1569	1392	1399	1251	1287
AT1G01046	5	2	19	10	2	9	8	11	8	10	2	9
AT1G01050	1185	1186	1228	1488	1530	1380	1068	1073	967	1761	1715	1818
AT1G01060	4600	5489	5219.001	2108	1868	1942	3834.999	4045	3637	2192	2143	2128
AT1G01070	64	42	94	256	239	290	41	54	34	218	157	184
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	971	1224	976	1088	1051	830	578	667	559	687	697	655
AT1G01090	5026	4983	4992	3849	4104	3338	4077	4517	4033	4517	4364	4127
AT1G01100	4521	4972.999	4300	5645	5738	5555.999	2757.999	2759	2312.001	6238	6334.001	6525
AT1G01110	171	111	144	178	170	166	100	111	101	231	216	239
AT1G01115	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01120	961	1151	1375	652	800	719	1887	2095	1978	1983	1885	1721
AT1G01130	10	17	14	10	15	19	10	13	10	34	33	31
AT1G01140	1183	1342	1320	1427	1395	1485	1837	1840	1905	1117	960	762
AT1G01150	0	0	0	2	5	1	6	0	0	1	3	0
AT1G01160	695	692	732	848.48	788	969.2	664	572	582.354	855	786	971.534
AT1G01170	917	1207	927	1340.52	1282	1142.8	818	858	781.646	794	838	786.466
AT1G01180	480	483	476	327	357	305	666	650	526	246	259	177
AT1G01183	0	0	0	0	1	0	0	0	0	0	0	0
AT1G01190	65	62	60	83	119	101	20	33	49	56	74	75
AT1G01200	24	18	26	35	43	50	4	8	1	76	52	73
AT1G01210	231	280	308	267	267.471	255	243	230	203	308	332	286
AT1G01220	557	714	729	916	827	874	519	514	406	955	895	851
AT1G01225	42	24	50	59	58	70	30	40	13	72	61	83
AT1G01230	404	371	485	599	633	622	672	612	582	976	794	867
AT1G01240	687	675	749.001	1264	1014	1080.999	897	820	804	535	378	457.001
AT1G01250	3	21	5	69	76	71	2	2	0	31	40	26
AT1G01260	487	503.001	545	574.999	528.001	543	551.001	576	501.999	643	593	567
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01290	263	280	303	322	367	380	210	204	204	335	329	303
AT1G01300	1518	1552	1720	1358	1576	1522	1198	1362	1134	3366	3618	2924
AT1G01305	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01310	0	1	0	1	2	3	1	1	1	4	0	2
AT1G01320	14431	15270	17620	7975	7129	6341	9299	10244	8467	4819	5170	4537
AT1G01340	250	248	205	120	73	165	262	250	205	52	39	56
AT1G01350	485	503	510	601	571	599	453	496	446	702	670	643
AT1G01355	1	1	2	0	1	2	1	0	0	15	4	7
AT1G01360	512	561	549	501	478	509	556	468	431	436	384	371
AT1G01370	53	76	61	105	115	102	25	33	39	138	173	179
AT1G01380	6	15	7	32	25	24	0	1	1	25	28	14
AT1G01390	28	36	45	63	64	65	4	7	2	15	31	22
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01420	195	256	228	187	196	251	228	185	154	189	180	179
AT1G01430	2295	2333	2399	1401	1374	1199	2125	1931	1649	1205	1242	1136
AT1G01440	614	646	723	528	500	571	694	722	617	505	494	379
AT1G01448	514.129	534.227	585.075	433.049	332.042	332.76	561.243	522.296	380.387	236.717	237.078	236.36
AT1G01450	27.871	17.772	33.925	17.951	10.957	13.24	11.756	12.704	10.614	7.283	21.922	6.64
AT1G01453	13	2	23	13	9	11	4	1	4	12	17	29
AT1G01460	0	0	0	0	2	0	0	0	0	0	0	0
AT1G01470	566	708	559	1579	1493	1616	3571	3848	4080	3797	2931	3663
AT1G01471	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	11	8	5	17	10	21	121	47	98	201	107	125
AT1G01490	1852	2103	1969	1694	1620	1714	2944	3162	2905	1737	1783	1962
AT1G01500	227	272	207	315	356	347	348	367	394	423	351	422
AT1G01510	1267	1107	1441	1318	1227	1252	938	921	817	1366	1280	1338
AT1G01520	64	88	89	66	36	58	36	38	37	171	117	142
AT1G01530	0	0	0	1	0	0	0	0	0	1	0	0
AT1G01540	3068	3280	3244	1923	1784	1683	3141	3210	2843	2499	2200	2188
AT1G01550	2694	2879	2914	2939	2875	3169	4856	4499	4345	3998	3531	3476
AT1G01560	2	5	5	50	46	142	103	86	78	39	30	31
AT1G01570	26	36	46	53	54	39	10	9	12	76	82	79
AT1G01580	24	22	42	281	338	154	4	5	15	120	80	150
AT1G01590	4	13	7	6	0	2	16	19	10	10	5	9
AT1G01600	32	31	51	292	320	314	50	62	59	376	431	311
AT1G01610	1392	1519	1619	1214	1341	1188	945	1049	855	1651	1609	1345
AT1G01620	14567	14238	14198	7511	7672	6261	35572	38083	34766	11150	10134	9937
AT1G01630	582	565	568	866	929	915	498	361	392	1516	1446	1428
AT1G01640	161	126	235	209	207	248	223	249	206	252	251	322
AT1G01650	1050	1042	1412	1162	1131	1312	1738	1587	1452	1141	976	1025
AT1G01660	12	15	37	26	18	49	9	20	9	35	27	38
AT1G01670	31	51	36	42	58	69	13	23	29	27	21	39
AT1G01680	3	8	0	68	34	168	196	122	133	8	12	20
AT1G01690	82	96	138	199	180	216	58	79	46	233	186	230
AT1G01695	4	8	13	18	10	15	9	6	7	10	11	10
AT1G01700	12	16	16	50	57	45	10	16	9	78	45	62
AT1G01710	512	528	591	634	642	630	595	545	445	581	537	569
AT1G01720	747	761	983	635	592	884	2144	2286	2181	1904	1420	1949
AT1G01725	123	159	127	237	157	234	104	115	97	93	92	102
AT1G01730	481	510	542	615	625	709	778	744	739	876	758	780
AT1G01740	125	109	125	107	105	123	97	107	94	117	120	130
AT1G01750	121	114	171	143	145	136	38	18	27	558	392	419
AT1G01760	86	84	118	82	65	88	78	73	57	84	71	72
AT1G01770	569	572	651	646	499	522	1024	1011	930	451	349	399
AT1G01780	241	210	253	210	160	211	428	384	332	230	188	221
AT1G01790	3896	4461	5186	1823	1480	1383	2022	2152	1836	1012	937	812
AT1G01800	1489	1443	1336	1468	1504	1529	1727	1711	1528	2838	2311	2328
AT1G01810	9	20	10	23	32	27	16	18	17	36	41	32
AT1G01820	1582	1701	1639	1395	1320	1416	1730	1737	1504	1306	1158	1274
AT1G01830	372	370	428	511	596	652	508	650	544	894	808	926.001
AT1G01840	13.253	18.371	14.178	56.43	27.586	24.603	8.115	9.721	13.697	43.247	35.209	32.616
AT1G01860	221.747	274.629	224.822	290.57	250.414	218.397	205.885	209.279	192.303	212.753	212.791	201.384
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01880	30	35	48	56	49	63	16	24	20	42	54	52
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01900	59	77	60	154	128	127	11	7	6	160	243	160
AT1G01910	1128.999	1225	1096	1394.001	1334	1238	991	883	857	1436.001	1277	1317.999
AT1G01920	353	317	464	518	452	480	142	204	178	441	412	447
AT1G01930	381	423	476	387	358	409	427	420	395	382	350	404
AT1G01940	180	175	164	338	280	344	131	160	124	412	368	417
AT1G01950	551	546	622	636	610	618	501	556	402	782	748	703
AT1G01960	2939	2954	4124	3176	3137	3000	2913	2841	2518	4157	3664	3733
AT1G01970	555	725	548	536	527	420	360	406	324	386	399	380
AT1G01980	0	0	0	1	1	0	2	2	0	1	0	1
AT1G01990	765	743	752	437	464	418	541	645	548	417	407	490
AT1G02000	352	362	368	251	330	326	524	601	563	635	581	623
AT1G02010	452	580	558	320	354	348	438	425	312	307	244	282
AT1G02020	315	437	361	364	312	320	411	392	360	317	291	298
AT1G02030	7	7	2	19	10	15	11	9	9	24	22	12
AT1G02040	2	0	0	0	0	2	5	2	5	3	8	1
AT1G02050	378	321	308	207	201	188	230	259	221	239	222	264
AT1G02060	400	355	503	250	257	240	223	262	257	253	222	265
AT1G02065	80	104	82	61	76	81	8	21	4	22	33	50
AT1G02070	18	5	19	5	7	10	1	7	1	5	12	11
AT1G02074	3	1	1	1	3	0	0	0	0	0	0	0
AT1G02080	3115	3076	5075	4020	3529	4163	3387	3288	2881	4937	4123	4204
AT1G02090	548	584	637.001	914	809	906.001	566	681	539	1057	967.999	998
AT1G02100	1353	1434	1430	1123	989	1165.001	1340.001	1383	1253	926	795	911
AT1G02110	832	897	936	939	1042	844	348	362	274	834	907	976
AT1G02120	2170	2087	2360	2024	1805	2288	2301	2170	1880	1738	1604	1689
AT1G02130	1127	1081	1084	1114	1075	1020	1238	1260	1193	1332	1186	1252
AT1G02136	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02140	2173	2338	2222	2567	2601	2627	2247	2396	2129	3464	3263	3397
AT1G02145	402	441	468	558	465.001	568	405	379	314	585	534	494
AT1G02150	3173	3413	2867	2688	2690	2106	1794	2072	1696	1759	1900	1825
AT1G02160	481	503	453	587	501	506	392	421	332	499	463	485
AT1G02170	426	473	478	716	662	762	810	800	619	716	704	726
AT1G02180	57	81	64	115	113	125	33	49	34	104	152	150
AT1G02190	1	6	5	20	15	16	0	0	0	14	6	9
AT1G02205	139	276	205	1300	1172	1321	287	350	244	3027	2658	2425
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	106	105	85	227	209	321	256	279	338	650	538	485
AT1G02228	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02230	1	0	17	34	17	83	70	41	32	15	10	13
AT1G02250	0	2	1	1	5	5	3	0	4	0	0	1
AT1G02260	451	382	415	613	579	651	400	449	403	584	492	583
AT1G02270	253	270	290	479	460	492	487	457	358	578	523	447
AT1G02280	1992	2178	1770	2140	1982	1693	1098	1156	1072	1206	1201	1235
AT1G02290	195	275	248	248	216	242	164	133	139	287	268	255
AT1G02300	482	477	565	1212	998	1213	417	408	343	370	328	367
AT1G02305	2210	2129	2285	2507	2583	2722	3125	3178	2929	2721	2430	2609
AT1G02310	7	12	4	9	20	35	22	12	18	30	22	18
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02330	466	520	502	791	690	715	443	448	375	764	747	718
AT1G02335	11	6	12	39	33	38	2	1	0	63	47	27
AT1G02340	183	192	176	129	152	165	352	299	352	99	52	80
AT1G02350	21	12	13	17	29	20	10	6	2	7	11	11
AT1G02360	118	74	149	308	327	442	349	324	400	916	925	670
AT1G02370	219	210	241	252	235	279	131	127	112	299	338	381
AT1G02380	45	67	50	65	56	37	58	56	78	83	62	70
AT1G02390	36	44	61	117	103	171	19	36	32	136	120	167
AT1G02391	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02400	87	70	95	159	172	228	82	77	57	161	120	112
AT1G02405	0	3	0	5	1	1	1	1	0	3	5	4
AT1G02410	309	341	326	511	499	507	352	314	296	482	463	442
AT1G02420	112	127	121	124	125	87	89	84	70	116	137.745	134
AT1G02430	23	18	15	17	22	19	43	25	18	13	20.255	19
AT1G02440	1	2	0	9	0	0	2	7	2	0	0	0
AT1G02450	2	2	0	44	41	129	24	2	16	5	1	5
AT1G02460	18	28	46	14	34	41	8	7	2	39	54	48
AT1G02470	5	18	16	116	103	187	53	41	42	29	37	34
AT1G02475	629	649	566	617	577	583	866	853	764	568	486	462
AT1G02480	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02490	0	4	0	4	2	2	0	0	0	1	0	2
AT1G02500	12649.613	12202	12341	9654	10645.551	9694	14232	14805	12471	10744	10306	10413
AT1G02510	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02520	320	358	374	344	348	575	752	727	527.995	596	393	407
AT1G02530	7	13	7	9	14	21	4	3	3.005	17	18	10
AT1G02540	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	1	0	0	0	0	0
AT1G02560	4111	4300	4006	4832	4661	3859	4603	4498	4185	3485	3543	3223
AT1G02570	15	7	6	5	14	2	9	0	1	8	10	14
AT1G02575	12	2	0	0	0	0	22	16	4	8	4	2
AT1G02580	5	3	9	13	8	27	63	55	56	18	17	8
AT1G02590	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02610	409	480	362	169	112	124	365	380	327	50	42	35
AT1G02620	112	82	91	11	11	4	48	41	29	0	0	0
AT1G02630	0	2	5	5	2	2	0	0	1	2	3	0
AT1G02640	3523	3245	2988	653	688	498	1050	1078	785	463	562	402
AT1G02650	78	36	33	12	9	15	58	66	49	21	21	19
AT1G02660	908	1004	1030	470	421	338	910	948	805	328	206	239
AT1G02670	7	21	9	36	26	23	10	13	24	25	32	14
AT1G02680	244	259	242	400	330	389	210	204	199	322	275	263
AT1G02681	0	0	0	0	1	0	0	4	0	5	0	0
AT1G02690	358	381	428	637	605	678	151	180	110	807	743	829
AT1G02700	64	68	102	44	33	46	15	28	16	553	261	496
AT1G02710	39	59	35	18	30	25	21	16	7	35	32	43
AT1G02720	277	298	285	284	331	306	116	115	97	343	330	316
AT1G02730	407	484	538	1616	1425	1311	118	157	139	1696	1928	1929
AT1G02740	154	177	192	305	275	324	178	179	194	269	272	256
AT1G02750	197	203	185	344	337	425	246	257	254	353	278	272
AT1G02770	21	26	34	31	39	47	53	57	53	135	90	100
AT1G02780	12127	13216	12406	17221	17513	16696	7444	7177	6487	20433	20121	20537
AT1G02790	0	0	0	0	0	0	0	0	0	0	1	0
AT1G02800	20	27	54	141	139	119	5	12	6	115	166	175
AT1G02810	211	130	243	219	220	233	182	238	179	1053	874	975
AT1G02813	0	0	0	4	4	1	0	0	0	5	7	10
AT1G02816	244	250	339	301	260	327	550	577	545	717	547	597
AT1G02820	58	64	41	18	18	4	105	141	116	13	9	5
AT1G02830	0	0	0	0	1	0	0	1	0	1	2	1
AT1G02840	5787	5418	5731	3838	3713.999	3848.001	3563	3805.001	3301.001	2837.001	2738.001	2947
AT1G02850	543.001	492.001	548	913	753.001	1567.999	1605	1607	1325	1916.001	1241	1694
AT1G02860	465	487	637	278	232	247	841	830	751	310	241	235
AT1G02870	490	481	503	508	524	507	264	286	214	560	578	620
AT1G02880	223	254.001	271	411.001	400	489	313	339	237	503.999	395	473.001
AT1G02890	1965	2211	2827	2442	2150	2495	2504	2538	2254	2888	2393	2390
AT1G02900	723	737	755	411	414	427	489	566	475	785	735	684
AT1G02910	1327	1763	1521	985	895	815	1237	1345	1045	574	493	511
AT1G02920	569	476	450	2222.945	1850.875	3052	3630.471	2322.93	2736.484	3176.001	3817.808	2024.166
AT1G02930	337	278	366	3001.055	2516.125	4330	4555.529	3232.07	3522.516	7186.999	6778.192	5922.834
AT1G02940	3	0	0	8	13	11	14	3	8	70	49	35
AT1G02950	18	9	39	47	69	71	9	14	8	44	60	55
AT1G02952	0	0	0	1	0	0	0	0	0	1	0	0
AT1G02960	320	318	440	516	466	538.001	411	340	291.999	382	355	346.001
AT1G02965	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02970	51	46	49	91	93	81	22	21	25	150	118	149
AT1G02980	0	3	3	1	8	4	0	0	0	5	5	9
AT1G02990	493	595	764	643	575	616	741	810	717	825	704	650
AT1G03000	688	773	879	926	843	759	654	682	560	693	681	640
AT1G03010	36	41	33	34	42	45	20	13	5	39	43	39
AT1G03020	10	3	2	5	1	1	0	0	0	1	0	0
AT1G03022	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03030	157	226	166	401	360	371	249	202	185	447	416	433
AT1G03040	900	891	1022	1103	1002	1139	1092	1048	1010	1126	1050	1175
AT1G03050	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03055	102	175	159	31	16	26	78	86	73	18	13	20
AT1G03060	2219	2094	3154	1868	1890	1923	2318	2281	1976	2843	2528	2561
AT1G03070	8	7	11	10	8	21	22	25	23	26	34	33
AT1G03080	2359	2300	3557	2611	2535	2845	3454	3428	3008	3540	3205	3038
AT1G03090	3450.938	3412.964	3874.701	1422.764	1195.568	900.494	7326.732	7985.252	6974.918	515.77	503.509	464.964
AT1G03100	102.062	119.036	102.299	103.236	87.432	96.506	81.268	60.748	50.082	141.23	152.492	143.036
AT1G03103	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03106	63	71	51	24	10	5	10	9	6	3406	1843	3956
AT1G03110	234	289	267	403	352	358	153	139	152	461	445	516
AT1G03120	7	7	10	13	12	13	7	7	2	129	53	94
AT1G03130	14014	17070	15075	18741	17794	13848	9648	9445	7644	3361	3616	2724
AT1G03140	1250	1282	1306	1479	1421	1380	970	926	785	1047	1048	1022
AT1G03150	329	299	319	508	433	465	434	399	359	415	422	430
AT1G03160	1081	1156	1318	1307	1140	1048	1040	939	904	885	847	701
AT1G03170	20	14	24	24	28	23	18	11	4	26	17	15
AT1G03180	57	69	54	111	97	90	55	64	53	96	122	134
AT1G03190	270	266	360	371	355	380	267	285	264	344	362	333
AT1G03200	74	65	151	103	98	118	98	87	100	110	70	87
AT1G03210	293	272	313	360	326	413	356	285	267	327	312	287
AT1G03220	2967	2976	3030	3104.786	3235	3099	5763.849	5340	5031	4554	4959	4021
AT1G03230	979	927	1101	851.214	969	980	1026.151	1040	859	1969	1786	1958
AT1G03240	0	2	1	0	2	1	0	0	0	8	5	7
AT1G03250	322	348	322	545	484	537	438	480	437	612	537	581
AT1G03260	169	187	199	230	224	270	298	286	322	324	270	313
AT1G03270	57	34	77	76	70	95	15	18	15	166	92	155
AT1G03280	989	1005	1142	1076	1096	1251	1207	1333	1129	1277	1127	1121
AT1G03290	575	574	703	1093	934	1395	878	845	799	746	684	716
AT1G03300	210	267	270	181	154	140	228	183	167	172	162	178
AT1G03310	656	708	772	1177	1195	1116	364	418	350	1862	1714	1309
AT1G03320	4	0	0	5	0	8	1	2	0	2	4	2
AT1G03330	383	469	361	753	639	709	370	445	366	766	735	792
AT1G03340	76	51	66	151	152	179	14	18	34	90	70	84
AT1G03350	863	871	949	942	962	955	1304	1328	1269	1608	1512	1340
AT1G03360	264	290	322	404	358	354	184	192	167	379	394	347
AT1G03365	474	489	568	554	556	514	456	428	380	571	491	542
AT1G03370	750	714	1036	866	798	1074	1498	1370	1297	900	769	708
AT1G03380	1333	1347	1665	1297	1234	1295	1869	1831	1595	1413	1268	1272
AT1G03390	0	0	5	1	0	0	0	1	2	2	0	1
AT1G03400	446	517	498	270	241	391	543	512	441	71	69	85
AT1G03410	519.997	501.059	633.075	182.834	229.179	226.357	332.929	328.167	374.353	80.108	90.512	115.741
AT1G03420	492.003	487.941	514.925	497.166	403.821	437.643	418.071	512.833	419.647	457.892	490.488	475.259
AT1G03430	191	224	223	431	315	492	228	263	190	288	205	249
AT1G03440	373	460	378	257	265	295	243	245	217	228	239	236
AT1G03445	17	8	20	4	5	1	1	2	13	3	10	2
AT1G03457	472	471	605	316	271	253	423	421	375	259	275	249
AT1G03470	292	301	266	314	297	244	269	314	275	634	653	565
AT1G03475	2926	3302	2942	3903	3751	3263	2645	2745	2354	2872	2956	2685
AT1G03490	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03495	228.373	259.592	274.127	133	144.253	205.499	248.228	275.956	268.035	573.118	498.477	578.407
AT1G03502	10	11	5	3	1	2	7	9	6	7	3	2
AT1G03506	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03510	42	41	41	43	49	37	20	26	19	45	47	39
AT1G03515	0	0	0	0	0	0	0	0	0	0	0	1
AT1G03520	295	316	325	305	267	328	436	414	301	319	290	337
AT1G03530	669	717	731	585	605	543	422	385	328	851	771	800
AT1G03540	56	66	90	63	60	41	17	34	36	70	43	59
AT1G03545	33	27	39	26.074	32	22	17	23	17	22	23	37
AT1G03550	269	268	341	311.926	289	350	315	390	309	284	243	295
AT1G03560	361	323	466	272	265	248	292	291	267	324	363	286
AT1G03570	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03580	125	99	121	11	16	5	84	108	98	6	4	1
AT1G03590	841	891	1052	864	811	828	2100	2129	1942	1557	1340	1188
AT1G03600	5229	6224	4719	4868	4844	3254	4294	4734	3965	1909	2124	1676
AT1G03610	932	944	1006	773	736	663	2310	2324	2062	680	729	626
AT1G03620	33	34	35	61	35	46	55	45	52	24	9	28
AT1G03630	2784	3555	3079	3179	2859	2370	1493	1477	1253	1620	1830	1393
AT1G03650	85	98	87	92	92	81	65	63	45	48	69	55
AT1G03660	0	9	8	46	20	52	10	4	30	22	16	18
AT1G03670	0	0	0	0	1	0	0	1	0	0	3	0
AT1G03680	3690	4685	3731	3127	2713	2261	2852	2946	2564	1528	1631	1449
AT1G03687	279	321	340	319	328	326	151	158	159	260	268	273
AT1G03700	10	14	11	28	14	54	18	22	10	30	19	36
AT1G03710	1	2	0	9	8	4	1	2	1	5	3	7
AT1G03720	0	0	0	2	0	0	0	0	0	0	0	0
AT1G03730	180	184	165	195	178	227	173	215	240	318	245	331
AT1G03740	843	894	891	1041	953	1161	1114	1016	962	830	723	713
AT1G03743	0	0	0	0	0	0	0	0	0	0	0	1
AT1G03746	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03750	146	170	173	274	237	299	181	225	171	295	244	250
AT1G03760	268	264	267	324	304	366	163	160	188	342	302	347
AT1G03770	149	145	155	259	220	289	206	229	188	560	398	431
AT1G03780	136	187	218	540	503	511	57	61	46	475	420	506
AT1G03790	226	264	364	171	165	199	3557	4511	4004	3263	1962	2739
AT1G03800	21	16	15	24	14	16	25	52	59	60	53	49
AT1G03810	0	0	0	0	0	0	3	0	3	0	0	0
AT1G03820	9	24	17	163	163	227	67	41	51	467	433	465
AT1G03830	325	392	476	440	486	435	247	268	225	552	587	576
AT1G03840	98	64	106	111	98	148	26	39	29	161	128	195
AT1G03850	625	577	683	258	175	237	2049	1556	1607	110	84	54
AT1G03860	1207.999	1118.999	1214	1707	1633	1598.999	992	930	771	1928	1907	1866.999
AT1G03870	4427	4584	5161	1313	1401	1028	13889	14743	12943	7805	6709	6006
AT1G03880	2	0	0	6	0	21	0	2	2	280	207	316
AT1G03890	0	0	0	0	0	5	0	0	0	179	70	158
AT1G03900	1975	1918	2218	1925	2091	2097	3203	2963	2954	3014	2609	2626
AT1G03905	96	88	68	149	154	157	90	105	90	246	230	212
AT1G03910	1331	1219	1478	1651	1546	1689	1148	1221	1097	1937	1698	1822
AT1G03920	46	37	94	57	55	89	17	21	14	77	38	58
AT1G03930	551	562	687	690	691	650	678	705	679	806	722	712
AT1G03935	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03940	92.627	120.408	127.873	157	169.747	172.501	136.772	130.044	108.965	643.882	616.523	647.593
AT1G03950	131	137	130	246	246	268	214	156	180	310	257	262
AT1G03960	251	251	343	367	313	379	267	282	226	341	245	278
AT1G03970	347.095	402.854	386.987	505.352	491.267	535.984	460.649	442.335	402.029	529.409	518.547	550.037
AT1G03980	14.905	25.146	26.013	36.648	33.733	29.016	8.351	18.665	12.971	46.591	37.453	36.963
AT1G03982	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03990	75	66	123	73	92	104	88	107	81	434	319	370
AT1G04000	222	273	209	203	233	201	249	245	238	244	246	265
AT1G04010	293	257	385	305	326	348	163	169	177	368	386	291
AT1G04020	123	120	167	301	290	285	60	86	45	460	452	493
AT1G04030	95.146	55.062	121.145	173.239	164.376	230.242	68.185	133.257	77.133	270.581	214.362	241.357
AT1G04040	1680.854	1384.938	2153.855	2609.761	2942.624	2409.758	1538.815	1589.743	1198.867	13987.419	11649.834	10693.643
AT1G04050	105	90	148	141	131	133	84	74	73	288	253	244
AT1G04070	129	153	124	181	204	209	126	127	128	228	240	225
AT1G04080	2424	2475	3048	2729.999	2507	2595	2158.999	2275	1870	2983.001	2562	2769
AT1G04090	6	14	8	18	28	7	12	18	23	29	26	26
AT1G04100	75	87	47	69	84	86	72	53	66	84	65	83
AT1G04110	22	12	12	79	89	57	0	1	2	45	66	33
AT1G04120	2204	1963	3380	2787	2711	2894	2452	2410	2172	4487	3652	3959
AT1G04130	210	191	211	220	216	299	169	129	118	335	251	306
AT1G04140	2539	2473	2978	2416	2446	2444	2864	2799	2495	3162	2686	2797
AT1G04150	28	21	11	18	22	19	6	10	2	31	15	37
AT1G04160	224	200	320	297	263	255	131	134	133	517	409	391
AT1G04170	2161	2214	2332	2270	2305	2194	1785	1813	1528	3083	2944	3007
AT1G04171	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04180	17	17	20	69	63	79	1	5	0	115	90	79
AT1G04190	651	628	838	864	836	870	608	565	492	1196	1013	1170
AT1G04200	437	422	631	742	652	852	674	561	573	1092	876	862
AT1G04210	1508	1597	1974	1592	1634	1502	1365	1569	1346	1865	1695	1638
AT1G04220	248	202	263	460	511	508	291	246	201	963	869	808
AT1G04230	267	231	193	318	345	336	259	224	238	399	312	381
AT1G04240	855	1097	1014	675	733	553	326	302	188	553	502	483
AT1G04250	1203	1204	1394	871	923	969	2269	2512	2181	5582	4815	4886
AT1G04260	239	265	229	281	244	279	306	307	256	320	403	348
AT1G04270	6795	6671	6673	8260	8359	8101	3829	3675	3142	10613	10249	10506
AT1G04280	1167	1162	1312	899	909	841	1118	1047	935	729	656	557
AT1G04290	272.318	345.43	212.341	288.829	265.034	280.075	302.513	316.952	298.949	403.692	434.95	399.09
AT1G04295	7.682	9.57	24.659	18.171	21.966	10.925	11.487	11.048	1.051	9.308	13.05	9.91
AT1G04300	2319	2196	2818	2176	2036.999	2216	2168.001	2403	2001	2383	2108	2468
AT1G04310	388	360	405	517	425	431	737	833	784	444	379	373
AT1G04320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04330	13	6	9	32	20	48	3	6	1	47	48	68
AT1G04340	412	466	474	575	527	546	384	385	325	817	676	769
AT1G04350	1453	1712	1424	691	611	571	1406	1552	1430	598	569	567
AT1G04360	89	97	119	173	195	212	155	182	180	245	149	198
AT1G04370	0	0	0	0	1	2	0	0	0	3	3	6
AT1G04380	0	0	3	4	3	0	0	2	0	1	4	6
AT1G04390	255	289	313	308	287	300	316	274	288	259	253	219
AT1G04400	3684	3757	3996	3740	3573	3626	4878	4922	4792	3084	2906	2473
AT1G04410	10544	10684	11496	13619	14179	12877	17265	17344	15927	24505	23181	23057
AT1G04420	2771	3232	2584	2036	1718	1292	1800	2060	1693	869	968	880
AT1G04425	28	32	35	103	77	76	4	7	4	78	80	78
AT1G04430	3440	3241	4017	3045	2788	2749	3116	2983	2668	5012	4494	4178
AT1G04440	1323	1296	1701	1776	1573	1676	3344	3368	3229	2207	1850	1826
AT1G04445	2	4	13	5	3	1	20	17	13	14	3	21
AT1G04450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04457	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04470	0	0	0	0	0	0	0	0	0	3	4	3
AT1G04480	2614	2982	2533	3487	3573	3289	1609	1743	1432	3467	3690	3649
AT1G04490	6	7	19	31	48	48	2	3	6	88	87	81
AT1G04500	2	8	3	2	4	2	2	0	1	1	0	1
AT1G04501	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04510	1227	1250	1425	1501	1365	1459	1097	988	867	1563	1469	1555
AT1G04520	281	305	391	377	385	428	116	114	116	843	774	919
AT1G04530	1452	1883	1469	1212	1144	1235	1399	1378	1339	998	895	906
AT1G04540	28	48	45	50	57	63	14	20	11	74	75	92
AT1G04550	526	667	710	402	461	387	440	500	383	449	457	426
AT1G04555	76	84	69	179	157	191	108	151	124	194	180	197
AT1G04560	8	14	23	86	37	66	10	6	4	2948	1461	2948
AT1G04570	15	12	9	26	19	24	19	18	35	40	33	59
AT1G04580	1	1	6	6	9	11	0	0	1	2	1	12
AT1G04590	447	548	468	633	623	562	404	361	319	639	641	659
