From	Entrez	Species	Description
AT4G26560	828763	Arabidopsis thaliana	calcineurin B-like protein 7(CBL7)
AT5G63380	836457	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(AT5G63380)
AT4G38540	830011	Arabidopsis thaliana	FAD/NAD(P)-binding oxidoreductase family protein(AT4G38540)
AT1G24420	839058	Arabidopsis thaliana	HXXXD-type acyl-transferase family protein(AT1G24420)
AT5G38330	833815	Arabidopsis thaliana	low-molecular-weight cysteine-rich 80(LCR80)
AT4G38545	5008191	Arabidopsis thaliana	ncRNA(AT4G38545)
AT5G26345	3770732	Arabidopsis thaliana	hypothetical protein(AT5G26345)
AT5G14360	831287	Arabidopsis thaliana	Ubiquitin-like superfamily protein(AT5G14360)
AT3G02710	821269	Arabidopsis thaliana	ARM repeat superfamily protein(AT3G02710)
AT5G26340	832703	Arabidopsis thaliana	Major facilitator superfamily protein(MSS1)
AT2G36270	818199	Arabidopsis thaliana	Basic-leucine zipper (bZIP) transcription factor family protein(ABI5)
AT1G12411	6240455	Arabidopsis thaliana	hypothetical protein(AT1G12411)
AT4G26570	828764	Arabidopsis thaliana	calcineurin B-like 3(CBL3)
AT1G12410	837797	Arabidopsis thaliana	CLP protease proteolytic subunit 2(CLP2)
AT4G38552	10723069	Arabidopsis thaliana	ncRNA(AT4G38552)
AT4G38550	830012	Arabidopsis thaliana	phospholipase-like protein (PEARLI 4) family protein(AT4G38550)
AT5G02370	831740	Arabidopsis thaliana	ATP binding microtubule motor family protein(AT5G02370)
AT3G02715	3768802	Arabidopsis thaliana	tRNA(AT3G02715)
AT5G38320	833814	Arabidopsis thaliana	hypothetical protein(AT5G38320)
AT5G14350	831286	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT5G14350)
AT3G02720	820875	Arabidopsis thaliana	Class I glutamine amidotransferase-like superfamily protein(DJ1D)
AT5G26330	832702	Arabidopsis thaliana	Cupredoxin superfamily protein(AT5G26330)
AT4G26580	828765	Arabidopsis thaliana	RING/U-box superfamily protein(AT4G26580)
AT4G26582	10723142	Arabidopsis thaliana	ncRNA(AT4G26582)
AT1G12420	837798	Arabidopsis thaliana	ACT domain repeat 8(ACR8)
AT5G38317	3771358	Arabidopsis thaliana	low-molecular-weight cysteine-rich 58(LCR58)
AT4G38560	830013	Arabidopsis thaliana	phospholipase-like protein (PEARLI 4) family protein(AT4G38560)
AT2G36290	818200	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT2G36290)
AT5G02380	831816	Arabidopsis thaliana	metallothionein 2B(MT2B)
AT5G28990	833025	Arabidopsis thaliana	hypothetical protein(AT5G28990)
AT5G38310	833813	Arabidopsis thaliana	hypothetical protein(AT5G38310)
AT5G28993	3770857	Arabidopsis thaliana	hypothetical protein(AT5G28993)
AT1G24405	6240799	Arabidopsis thaliana	hypothetical protein(AT1G24405)
AT5G28996	3770858	Arabidopsis thaliana	miscRNA(AT5G28996)
AT1G24400	839057	Arabidopsis thaliana	lysine histidine transporter 2(LHT2)
AT3G14700	820698	Arabidopsis thaliana	SART-1 family(AT3G14700)
AT4G26590	828766	Arabidopsis thaliana	oligopeptide transporter 5(OPT5)
AT5G53940	835477	Arabidopsis thaliana	Yippee family putative zinc-binding protein(AT5G53940)
AT3G61028	5008101	Arabidopsis thaliana	Putative endonuclease or glycosyl hydrolase(AT3G61028)
AT3G61020	3769753	Arabidopsis thaliana	miscRNA(AT3G61020)
AT4G38570	830014	Arabidopsis thaliana	Putative CDP-diacylglycerol-inositol 3-phosphatidyltransferase 2(PIS2)
AT5G65930	836723	Arabidopsis thaliana	kinesin-like calmodulin-binding protein (ZWICHEL)(ZWI)
AT5G41960	834201	Arabidopsis thaliana	zinc finger matrin-type protein(AT5G41960)
AT3G48040	823959	Arabidopsis thaliana	RHO-related protein from plants 10(ROP10)
AT3G24090	821995	Arabidopsis thaliana	putative glucosamine-fructose-6-phosphate aminotransferase(GFAT)
AT3G24070	821993	Arabidopsis thaliana	Zinc knuckle (CCHC-type) family protein(AT3G24070)
AT3G61035	825275	Arabidopsis thaliana	Cytochrome P450 superfamily protein(AT3G61035)
AT5G53950	835478	Arabidopsis thaliana	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(CUC2)
AT3G61030	825274	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(AT3G61030)
AT5G65920	836721	Arabidopsis thaliana	ARM repeat superfamily protein(AT5G65920)
AT4G38580	830015	Arabidopsis thaliana	farnesylated protein 6(FP6)
AT5G41970	834202	Arabidopsis thaliana	Metal-dependent protein hydrolase(AT5G41970)
AT3G48030	823958	Arabidopsis thaliana	hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein(AT3G48030)
AT3G24080	821994	Arabidopsis thaliana	KRR1 family protein(AT3G24080)
AT5G65925	836722	Arabidopsis thaliana	hypothetical protein(AT5G65925)
AT3G48070	823962	Arabidopsis thaliana	RING/U-box superfamily protein(AT3G48070)
AT3G51680	824331	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(SDR2)
AT5G51300	835204	Arabidopsis thaliana	splicing factor-like protein(AT5G51300)
AT5G41980	834203	Arabidopsis thaliana	nuclease(AT5G41980)
AT5G53960	835479	Arabidopsis thaliana	Mid-1-related chloride channel domain-containing protein(AT5G53960)
AT4G38590	830016	Arabidopsis thaliana	beta-galactosidase 14(BGAL14)
AT5G65950	836725	Arabidopsis thaliana	trafficking protein particle complex subunit-like protein(AT5G65950)
AT3G24093	3768915	Arabidopsis thaliana	Paired amphipathic helix (PAH2) superfamily protein(AT3G24093)
AT3G48060	823961	Arabidopsis thaliana	BAH and TFIIS domain-containing protein(AT3G48060)
AT3G51690	824332	Arabidopsis thaliana	PIF1 helicase(AT3G51690)
AT5G51310	835205	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT5G51310)
AT5G41990	834204	Arabidopsis thaliana	with no lysine (K) kinase 8(WNK8)
AT3G61010	825272	Arabidopsis thaliana	Ferritin/ribonucleotide reductase-like family protein(AT3G61010)
AT5G65940	836724	Arabidopsis thaliana	beta-hydroxyisobutyryl-CoA hydrolase 1(CHY1)
AT3G48058	6240277	Arabidopsis thaliana	miscRNA(AT3G48058)
AT5G53970	835480	Arabidopsis thaliana	Tyrosine transaminase family protein(TAT7)
AT3G48057	6240295	Arabidopsis thaliana	ncRNA(MIR843)
AT3G48050	823960	Arabidopsis thaliana	protein SUO(SUO)
AT3G48090	823964	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(EDS1)
AT5G51320	835206	Arabidopsis thaliana	hypothetical protein(AT5G51320)
AT5G65970	836727	Arabidopsis thaliana	Seven transmembrane MLO family protein(MLO10)
AT3G61060	825278	Arabidopsis thaliana	phloem protein 2-A13(PP2-A13)
AT5G53980	835481	Arabidopsis thaliana	homeobox protein 52(HB52)
AT5G63310	836451	Arabidopsis thaliana	nucleoside diphosphate kinase 2(NDPK2)
AT1G73380	843673	Arabidopsis thaliana	hypothetical protein(AT1G73380)
AT3G48080	823963	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT3G48080)
AT5G65960	836726	Arabidopsis thaliana	GTP binding protein(AT5G65960)
AT5G53990	835482	Arabidopsis thaliana	UDP-Glycosyltransferase superfamily protein(AT5G53990)
AT5G63300	836450	Arabidopsis thaliana	Ribosomal protein S21 family protein(AT5G63300)
AT5G51330	835207	Arabidopsis thaliana	SWITCH1(SWI1)
AT1G73390	843674	Arabidopsis thaliana	Endosomal targeting BRO1-like domain-containing protein(AT1G73390)
AT3G61070	825279	Arabidopsis thaliana	peroxin 11E(PEX11E)
AT5G65990	836729	Arabidopsis thaliana	Transmembrane amino acid transporter family protein(AT5G65990)
AT3G61040	825276	Arabidopsis thaliana	cytochrome P450, family 76, subfamily C, polypeptide 7(CYP76C7)
AT5G51340	835208	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G51340)
AT5G63320	836452	Arabidopsis thaliana	nuclear protein X1(NPX1)
AT5G65980	836728	Arabidopsis thaliana	Auxin efflux carrier family protein(AT5G65980)
AT3G61050	825277	Arabidopsis thaliana	Calcium-dependent lipid-binding (CaLB domain) family protein(NTMC2T4)
AT5G38396	833826	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT5G38396)
AT5G51350	835209	Arabidopsis thaliana	Leucine-rich repeat transmembrane protein kinase family protein(MOL1)
AT5G38393	3771362	Arabidopsis thaliana	miscRNA(AT5G38393)
AT5G38390	833824	Arabidopsis thaliana	F-box/RNI-like superfamily protein(AT5G38390)
AT2G14900	815979	Arabidopsis thaliana	Gibberellin-regulated family protein(AT2G14900)
AT3G26782	5008030	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G26782)
AT1G61360	842430	Arabidopsis thaliana	S-locus lectin protein kinase family protein(AT1G61360)
AT3G26780	822292	Arabidopsis thaliana	Phosphoglycerate mutase family protein(MEF14)
AT3G24120	821998	Arabidopsis thaliana	Homeodomain-like superfamily protein(AT3G24120)
AT5G16920	831555	Arabidopsis thaliana	Fasciclin-like arabinogalactan family protein(AT5G16920)
AT1G48390	841259	Arabidopsis thaliana	RNI-like superfamily protein(AT1G48390)
AT2G02910	814821	Arabidopsis thaliana	transmembrane protein (DUF616)(AT2G02910)
AT1G73340	843669	Arabidopsis thaliana	Cytochrome P450 superfamily protein(AT1G73340)
AT3G12130	820388	Arabidopsis thaliana	KH domain-containing protein / zinc finger (CCCH type) family protein(AT3G12130)
AT3G14790	820707	Arabidopsis thaliana	rhamnose biosynthesis 3(RHM3)
AT3G51740	824337	Arabidopsis thaliana	inflorescence meristem receptor-like kinase 2(IMK2)
AT5G28900	833013	Arabidopsis thaliana	Calcium-binding EF-hand family protein(AT5G28900)
AT5G04930	830375	Arabidopsis thaliana	aminophospholipid ATPase 1(ALA1)
AT1G61370	842431	Arabidopsis thaliana	S-locus lectin protein kinase family protein(AT1G61370)
AT3G51750	824338	Arabidopsis thaliana	hypothetical protein(AT3G51750)
AT3G24110	821997	Arabidopsis thaliana	Calcium-binding EF-hand family protein(AT3G24110)
AT3G26770	822290	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT3G26770)
AT1G36395	840546	Arabidopsis thaliana	hypothetical protein(AT1G36395)
AT3G26775	3768947	Arabidopsis thaliana	miscRNA(AT3G26775)
AT1G48380	841258	Arabidopsis thaliana	root hair initiation protein root hairless 1 (RHL1)(RHL1)
AT5G16910	831554	Arabidopsis thaliana	cellulose-synthase like D2(CSLD2)
AT1G73350	843670	Arabidopsis thaliana	ankyrin repeat protein(AT1G73350)
AT3G12140	820389	Arabidopsis thaliana	Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein(EML1)
AT3G12145	820391	Arabidopsis thaliana	Leucine-rich repeat (LRR) family protein(FLR1)
AT3G12143	3768834	Arabidopsis thaliana	miscRNA(AT3G12143)
AT5G04940	830376	Arabidopsis thaliana	SU(VAR)3-9 homolog 1(SUVH1)
AT2G14920	815981	Arabidopsis thaliana	sulfotransferase 4A(ST4A)
AT3G24140	822000	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(FMA)
AT1G61380	842432	Arabidopsis thaliana	S-domain-1 29(SD1-29)
AT1G48370	841257	Arabidopsis thaliana	YELLOW STRIPE like 8(YSL8)
AT5G16900	831553	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT5G16900)
AT2G26900	817231	Arabidopsis thaliana	Sodium Bile acid symporter family(BASS2)
AT2G02930	814822	Arabidopsis thaliana	glutathione S-transferase F3(GSTF3)
AT1G48360	841256	Arabidopsis thaliana	zinc ion binding/nucleic acid binding/hydrolase(AT1G48360)
AT1G73360	843671	Arabidopsis thaliana	homeodomain GLABROUS 11(HDG11)
AT5G41905	3771398	Arabidopsis thaliana	ncRNA(MIR166e)
AT5G41908	28721241	Arabidopsis thaliana	hypothetical protein(AT5G41908)
AT3G12150	820392	Arabidopsis thaliana	alpha/beta hydrolase family protein(AT3G12150)
AT3G51720	824335	Arabidopsis thaliana	WEB family protein (DUF827)(AT3G51720)
AT3G48100	823965	Arabidopsis thaliana	response regulator 5(RR5)
AT1G36390	840545	Arabidopsis thaliana	Co-chaperone GrpE family protein(AT1G36390)
AT5G04910	830373	Arabidopsis thaliana	DNA repair REX1-B protein(AT5G04910)
AT5G41900	834195	Arabidopsis thaliana	alpha/beta-Hydrolases superfamily protein(AT5G41900)
AT2G14910	815980	Arabidopsis thaliana	MAR-binding filament-like protein(AT2G14910)
AT3G26790	822293	Arabidopsis thaliana	AP2/B3-like transcriptional factor family protein(FUS3)
AT3G24130	821999	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT3G24130)
AT1G36370	840543	Arabidopsis thaliana	serine hydroxymethyltransferase 7(SHM7)
AT1G61390	842433	Arabidopsis thaliana	S-locus lectin protein kinase family protein(AT1G61390)
AT3G12160	820393	Arabidopsis thaliana	RAB GTPase homolog A4D(RABA4D)
AT1G48350	841255	Arabidopsis thaliana	Ribosomal L18p/L5e family protein(EMB3105)
AT3G51730	824336	Arabidopsis thaliana	saposin B domain-containing protein(AT3G51730)
AT1G36380	840544	Arabidopsis thaliana	transmembrane protein(AT1G36380)
AT5G04920	830374	Arabidopsis thaliana	EAP30/Vps36 family protein(AT5G04920)
AT1G73370	843672	Arabidopsis thaliana	sucrose synthase 6(SUS6)
AT5G41910	834196	Arabidopsis thaliana	Mediator complex, subunit Med10(MED10A)
AT2G38910	818476	Arabidopsis thaliana	calcium-dependent protein kinase 20(CPK20)
AT5G53902	3771501	Arabidopsis thaliana	ncRNA(U3B)
AT1G61320	842426	Arabidopsis thaliana	FBD / Leucine Rich Repeat domains containing protein(AT1G61320)
AT3G24160	822002	Arabidopsis thaliana	putative type 1 membrane protein(PMP)
AT5G53905	835473	Arabidopsis thaliana	prolamin-like protein(AT5G53905)
AT3G51780	824341	Arabidopsis thaliana	BCL-2-associated athanogene 4(BAG4)
AT1G63980	842701	Arabidopsis thaliana	D111/G-patch domain-containing protein(AT1G63980)
AT2G14940	3768118	Arabidopsis thaliana	hypothetical protein(AT2G14940)
AT5G53900	835472	Arabidopsis thaliana	Serine/threonine-protein kinase WNK (With No Lysine)-like protein(AT5G53900)
AT3G12170	820394	Arabidopsis thaliana	Chaperone DnaJ-domain superfamily protein(AT3G12170)
AT1G75960	843929	Arabidopsis thaliana	AMP-dependent synthetase and ligase family protein(AT1G75960)
AT2G02955	814824	Arabidopsis thaliana	maternal effect embryo arrest 12(MEE12)
AT2G02950	814823	Arabidopsis thaliana	phytochrome kinase substrate 1(PKS1)
AT1G73300	843664	Arabidopsis thaliana	serine carboxypeptidase-like 2(scpl2)
AT2G26920	817233	Arabidopsis thaliana	Ubiquitin-associated/translation elongation factor EF1B protein(AT2G26920)
AT3G61100	825282	Arabidopsis thaliana	Putative endonuclease or glycosyl hydrolase(AT3G61100)
AT3G48120	823967	Arabidopsis thaliana	serine/arginine-rich splicing factor(AT3G48120)
AT5G41920	834197	Arabidopsis thaliana	GRAS family transcription factor(AT5G41920)
