From	Entrez	Species	Description
AT1G18790	838461	Arabidopsis thaliana	RWP-RK domain-containing protein(RKD1)
AT1G04110	839287	Arabidopsis thaliana	Subtilase family protein(SDD1)
AT1G06770	837188	Arabidopsis thaliana	DREB2A-interacting protein 1(DRIP1)
AT4G33890	829532	Arabidopsis thaliana	transcriptional regulator of RNA polII, SAGA, subunit(AT4G33890)
AT1G43720	840960	Arabidopsis thaliana	hypothetical protein(AT1G43720)
AT5G22555	832318	Arabidopsis thaliana	transmembrane protein(AT5G22555)
AT1G43722	840961	Arabidopsis thaliana	nuclease(AT1G43722)
AT4G31230	829250	Arabidopsis thaliana	kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT4G31230)
AT3G06510	819829	Arabidopsis thaliana	Glycosyl hydrolase superfamily protein(SFR2)
AT4G08945	3770136	Arabidopsis thaliana	hypothetical protein(AT4G08945)
AT5G22540	832315	Arabidopsis thaliana	transmembrane protein, putative (DUF247)(AT5G22540)
AT1G43715	3767310	Arabidopsis thaliana	hypothetical protein(AT1G43715)
AT4G31248	6241235	Arabidopsis thaliana	ncRNA(AT4G31248)
AT1G04150	839249	Arabidopsis thaliana	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT1G04150)
AT4G08940	826472	Arabidopsis thaliana	Ubiquitin carboxyl-terminal hydrolase family protein(AT4G08940)
AT1G18750	838457	Arabidopsis thaliana	AGAMOUS-like 65(AGL65)
AT2G32590	817819	Arabidopsis thaliana	condensin complex subunit(EMB2795)
AT1G31730	840060	Arabidopsis thaliana	Adaptin family protein(AT1G31730)
AT2G44570	819065	Arabidopsis thaliana	glycosyl hydrolase 9B12(GH9B12)
AT5G34520	3771171	Arabidopsis thaliana	hypothetical protein(AT5G34520)
AT5G10550	830920	Arabidopsis thaliana	global transcription factor group E2(GTE2)
AT5G09560	830815	Arabidopsis thaliana	RNA-binding KH domain-containing protein(AT5G09560)
AT2G44578	5007961	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G44578)
AT1G04140	839272	Arabidopsis thaliana	Transducin family protein / WD-40 repeat family protein(AT1G04140)
AT5G22545	832316	Arabidopsis thaliana	hypothetical protein(AT5G22545)
AT4G31240	829251	Arabidopsis thaliana	protein kinase C-like zinc finger protein(AT4G31240)
AT1G43710	840958	Arabidopsis thaliana	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(EMB1075)
AT3G06520	819830	Arabidopsis thaliana	agenet domain-containing protein(AT3G06520)
AT5G22530	832314	Arabidopsis thaliana	hypothetical protein(AT5G22530)
AT4G08930	826471	Arabidopsis thaliana	APR-like 6(APRL6)
AT1G18760	838458	Arabidopsis thaliana	Zinc finger, C3HC4 type (RING finger) family protein(AT1G18760)
AT5G09580	830817	Arabidopsis thaliana	heat shock protein(AT5G09580)
AT1G31720	840059	Arabidopsis thaliana	chitin synthase, putative (DUF1218)(AT1G31720)
AT2G44581	6241397	Arabidopsis thaliana	RING/U-box superfamily protein(AT2G44581)
AT2G44580	819066	Arabidopsis thaliana	zinc ion binding protein(AT2G44580)
AT3G18500	821380	Arabidopsis thaliana	DNAse I-like superfamily protein(AT3G18500)
AT5G09570	830816	Arabidopsis thaliana	Cox19-like CHCH family protein(AT5G09570)
AT5G10560	830921	Arabidopsis thaliana	Glycosyl hydrolase family protein(AT5G10560)
AT1G04130	839276	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(TPR2)
AT4G31250	829252	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT4G31250)
AT1G43700	840957	Arabidopsis thaliana	VIRE2-interacting protein 1(VIP1)
AT4G08920	826470	Arabidopsis thaliana	cryptochrome 1(CRY1)
AT4G31265	3770566	Arabidopsis thaliana	tRNA(AT4G31265)
AT4G31260	829253	Arabidopsis thaliana	hypothetical protein(AT4G31260)
AT5G46500	834693	Arabidopsis thaliana	protein VARIATION IN COMPOUND TRIGGERED ROOT growth protein(AT5G46500)
AT4G08910	826469	Arabidopsis thaliana	homeobox protein(AT4G08910)
AT4G31270	829254	Arabidopsis thaliana	sequence-specific DNA binding transcription factor(AT4G31270)
AT4G08900	826468	Arabidopsis thaliana	arginase(ARGAH1)
AT3G55485	10723055	Arabidopsis thaliana	ncRNA(AT3G55485)
AT5G46510	834694	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(AT5G46510)
AT3G55480	824714	Arabidopsis thaliana	protein affected trafficking 2(PAT2)
AT4G31280	829255	Arabidopsis thaliana	hypothetical protein(AT4G31280)
AT5G46520	834695	Arabidopsis thaliana	Disease resistance protein (TIR-NBS-LRR class) family(AT5G46520)
AT3G55490	5008088	Arabidopsis thaliana	GINS complex protein(AT3G55490)
AT4G31290	829256	Arabidopsis thaliana	ChaC-like family protein(AT4G31290)
AT5G58500	28721277	Arabidopsis thaliana	LIGHT-DEPENDENT SHORT HYPOCOTYLS-like protein (DUF640)(LSH5)
AT5G46530	834696	Arabidopsis thaliana	AWPM-19-like family protein(AT5G46530)
AT1G65080	842816	Arabidopsis thaliana	Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain-containing protein(AT1G65080)
AT1G65090	842817	Arabidopsis thaliana	nucleolin(AT1G65090)
AT1G06700	837180	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G06700)
AT5G58510	835964	Arabidopsis thaliana	Rab3 GTPase-activating protein catalytic protein(AT5G58510)
AT1G77060	844041	Arabidopsis thaliana	Phosphoenolpyruvate carboxylase family protein(AT1G77060)
AT5G46540	834697	Arabidopsis thaliana	P-glycoprotein 7(ABCB7)
AT1G77080	844042	Arabidopsis thaliana	K-box region and MADS-box transcription factor family protein(MAF1)
AT1G18700	838451	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(AT1G18700)
AT5G58520	835965	Arabidopsis thaliana	Protein kinase superfamily protein(AT5G58520)
AT5G46550	834698	Arabidopsis thaliana	DNA-binding bromodomain-containing protein(AT5G46550)
AT1G77090	844043	Arabidopsis thaliana	thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(AT1G77090)
AT5G58530	835966	Arabidopsis thaliana	Glutaredoxin family protein(AT5G58530)
AT1G06720	837182	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G06720)
AT5G46560	834699	Arabidopsis thaliana	Man1-Src1p-carboxy-terminal domain protein(AT5G46560)
AT5G58540	835967	Arabidopsis thaliana	Protein kinase superfamily protein(AT5G58540)
AT1G77093	3767714	Arabidopsis thaliana	Defensin-like (DEFL) family protein(AT1G77093)
AT1G06710	837181	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G06710)
AT1G77095	3767715	Arabidopsis thaliana	hypothetical protein(AT1G77095)
AT1G80680	844407	Arabidopsis thaliana	SUPPRESSOR OF AUXIN RESISTANCE 3(SAR3)
AT3G55540	824719	Arabidopsis thaliana	nuclear transport factor 2 (NTF2) family protein(AT3G55540)
AT1G65040	842812	Arabidopsis thaliana	RING/U-box superfamily protein(Hrd1B)
AT3G43550	823449	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G43550)
AT1G77020	844038	Arabidopsis thaliana	DNAJ heat shock N-terminal domain-containing protein(AT1G77020)
AT1G53050	841739	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G53050)
AT5G09700	830829	Arabidopsis thaliana	Glycosyl hydrolase family protein(AT5G09700)
AT1G79680	844307	Arabidopsis thaliana	WALL ASSOCIATED KINASE (WAK)-LIKE 10(WAKL10)
AT3G55550	824720	Arabidopsis thaliana	Concanavalin A-like lectin protein kinase family protein(AT3G55550)
AT1G80670	844406	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(RAE1)
AT3G43546	3769577	Arabidopsis thaliana	hypothetical protein(AT3G43546)
AT5G10700	830935	Arabidopsis thaliana	Peptidyl-tRNA hydrolase II (PTH2) family protein(AT5G10700)
AT1G65050	842813	Arabidopsis thaliana	TRAF-like superfamily protein(AT1G65050)
AT3G43540	823446	Arabidopsis thaliana	initiation factor 4F subunit (DUF1350)(AT3G43540)
AT1G77030	844039	Arabidopsis thaliana	putative DEAD-box ATP-dependent RNA helicase 29(AT1G77030)
AT1G53040	841738	Arabidopsis thaliana	tRNA (met) cytidine acetyltransferase, putative (DUF616)(AT1G53040)
AT5G09710	830830	Arabidopsis thaliana	miscRNA(AT5G09710)
AT1G79690	844308	Arabidopsis thaliana	nudix hydrolase homolog 3(NUDT3)
AT5G09711	6241407	Arabidopsis thaliana	transmembrane protein(AT5G09711)
AT3G55520	824717	Arabidopsis thaliana	FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT3G55520)
AT1G65060	842814	Arabidopsis thaliana	4-coumarate:CoA ligase 3(4CL3)
AT1G28080	839701	Arabidopsis thaliana	RING finger protein(AT1G28080)
AT3G43575	3769582	Arabidopsis thaliana	hypothetical protein(AT3G43575)
AT3G43574	6240370	Arabidopsis thaliana	beta-galactosidase-like protein(AT3G43574)
AT3G43571	3769580	Arabidopsis thaliana	hypothetical protein(AT3G43571)
AT1G53035	841737	Arabidopsis thaliana	transmembrane protein(AT1G53035)
AT3G43570	823453	Arabidopsis thaliana	GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G43570)
AT3G43573	3769581	Arabidopsis thaliana	hypothetical protein(AT3G43573)
AT3G43572	6240395	Arabidopsis thaliana	transmembrane protein(AT3G43572)
AT1G53030	841736	Arabidopsis thaliana	Cytochrome C oxidase copper chaperone (COX17)(AT1G53030)
AT1G80690	844408	Arabidopsis thaliana	PPPDE putative thiol peptidase family protein(AT1G80690)
AT3G55530	824718	Arabidopsis thaliana	RING/U-box superfamily protein(SDIR1)
AT1G28090	839702	Arabidopsis thaliana	Polynucleotide adenylyltransferase family protein(AT1G28090)
AT1G65070	842815	Arabidopsis thaliana	DNA mismatch repair protein MutS, type 2(AT1G65070)
AT3G43563	3769578	Arabidopsis thaliana	hypothetical protein(AT3G43563)
AT3G43566	3769579	Arabidopsis thaliana	hypothetical protein(AT3G43566)
AT1G53025	10723113	Arabidopsis thaliana	Ubiquitin-conjugating enzyme family protein(AT1G53025)
AT1G53023	10723074	Arabidopsis thaliana	Ubiquitin-conjugating enzyme family protein(AT1G53023)
AT1G53020	841735	Arabidopsis thaliana	miscRNA(UBC26)
AT1G55680	842017	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT1G55680)
AT1G65000	842808	Arabidopsis thaliana	F-box only protein(AT1G65000)
AT1G67660	843091	Arabidopsis thaliana	Restriction endonuclease, type II-like superfamily protein(AT1G67660)
AT3G55580	824723	Arabidopsis thaliana	Regulator of chromosome condensation (RCC1) family protein(AT3G55580)
AT1G79640	844303	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G79640)
AT1G80640	844403	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G80640)
AT3G43590	823456	Arabidopsis thaliana	zinc knuckle (CCHC-type) family protein(AT3G43590)
AT1G53090	841743	Arabidopsis thaliana	SPA1-related 4(SPA4)
AT1G55690	842018	Arabidopsis thaliana	Sec14p-like phosphatidylinositol transfer family protein(AT1G55690)
AT3G55590	824724	Arabidopsis thaliana	Glucose-1-phosphate adenylyltransferase family protein(AT3G55590)
AT1G65010	842809	Arabidopsis thaliana	WEB family protein (DUF827)(AT1G65010)
AT1G67670	843092	Arabidopsis thaliana	hypothetical protein(AT1G67670)
AT3G43586	3769583	Arabidopsis thaliana	hypothetical protein(AT3G43586)
AT3G43583	2745931	Arabidopsis thaliana	hypothetical protein(AT3G43583)
AT1G79650	844304	Arabidopsis thaliana	Rad23 UV excision repair protein family(RAD23B)
AT4G18197	3770303	Arabidopsis thaliana	purine permease 7(PUP7)
AT3G43580	823455	Arabidopsis thaliana	Beta-galactosidase related protein(AT3G43580)
AT1G80630	844402	Arabidopsis thaliana	RNI-like superfamily protein(AT1G80630)
AT4G18195	3770302	Arabidopsis thaliana	purine permease 8(PUP8)
AT5G46700	834713	Arabidopsis thaliana	Tetraspanin family protein(TRN2)
AT1G53080	841742	Arabidopsis thaliana	Legume lectin family protein(AT1G53080)
AT4G18190	827544	Arabidopsis thaliana	purine permease 6(PUP6)
AT3G55566	6240386	Arabidopsis thaliana	hypothetical protein(AT3G55566)
AT3G55560	824721	Arabidopsis thaliana	AT-hook protein of GA feedback 2(AGF2)
AT5G46710	834714	Arabidopsis thaliana	PLATZ transcription factor family protein(AT5G46710)
AT1G80660	844405	Arabidopsis thaliana	H[+]-ATPase 9(HA9)
AT1G65020	842810	Arabidopsis thaliana	plasma protein(AT1G65020)
AT1G67680	843093	Arabidopsis thaliana	SRP72 RNA-binding domain-containing protein(AT1G67680)
AT1G77000	844036	Arabidopsis thaliana	RNI-like superfamily protein(SKP2B)
AT1G79660	844305	Arabidopsis thaliana	ephrin-A3 protein(AT1G79660)
AT1G53070	841741	Arabidopsis thaliana	Legume lectin family protein(AT1G53070)
AT5G46720	834715	Arabidopsis thaliana	AIG2-like (avirulence induced gene) family protein(AT5G46720)
AT4G18180	827543	Arabidopsis thaliana	Pectin lyase-like superfamily protein(AT4G18180)
AT1G65032	6240339	Arabidopsis thaliana	COMPLEX 1 LYR-like protein(AT1G65032)
AT3G55570	824722	Arabidopsis thaliana	cytoplasmic tRNA 2-thiolation protein(AT3G55570)
AT1G65030	842811	Arabidopsis thaliana	Transducin/WD40 repeat-like superfamily protein(AT1G65030)
AT1G67690	843094	Arabidopsis thaliana	Zincin-like metalloproteases family protein(AT1G67690)
AT4G06196	3770144	Arabidopsis thaliana	hypothetical protein(AT4G06196)
AT5G58700	835984	Arabidopsis thaliana	phosphatidylinositol-speciwc phospholipase C4(PLC4)
AT1G80650	844404	Arabidopsis thaliana	RNAse THREE-like protein 1(RTL1)
AT1G79670	844306	Arabidopsis thaliana	Wall-associated kinase family protein(RFO1)
AT1G77010	844037	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT1G77010)
AT1G53060	841740	Arabidopsis thaliana	Legume lectin family protein(AT1G53060)
AT5G19110	832031	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G19110)
AT5G22760	832339	Arabidopsis thaliana	PHD finger family protein(AT5G22760)
AT5G20100	832132	Arabidopsis thaliana	plant/protein(AT5G20100)
AT1G67623	843084	Arabidopsis thaliana	F-box family protein(AT1G67623)
AT3G06530	819831	Arabidopsis thaliana	ARM repeat superfamily protein(AT3G06530)
AT2G07410	3768426	Arabidopsis thaliana	hypothetical protein(AT2G07410)
AT1G67620	843083	Arabidopsis thaliana	Lojap-related protein(AT1G67620)
AT4G18170	827542	Arabidopsis thaliana	WRKY DNA-binding protein 28(WRKY28)
AT1G04050	839320	Arabidopsis thaliana	histone-lysine N-methyltransferase SUVR2-like protein(SUVR1)
AT1G28020	839695	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G28020)
AT1G55640	842013	Arabidopsis thaliana	prenylated RAB acceptor 1.G1(PRA1.G1)
AT5G34749	3771181	Arabidopsis thaliana	hypothetical protein(AT5G34749)
AT1G31670	840054	Arabidopsis thaliana	Copper amine oxidase family protein(AT1G31670)
AT5G07120	830603	Arabidopsis thaliana	sorting nexin 2B(SNX2b)
AT5G10770	830944	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G10770)
AT3G18510	821381	Arabidopsis thaliana	ATP-dependent helicase/nuclease subunit(AT3G18510)
AT5G09780	830838	Arabidopsis thaliana	Transcriptional factor B3 family protein(AT5G09780)
AT1G79600	844298	Arabidopsis thaliana	Protein kinase superfamily protein(AT1G79600)
AT1G16040	838175	Arabidopsis thaliana	phosphatidylinositol-glycan biosynthesis class F-like protein(AT1G16040)
AT1G28010	839694	Arabidopsis thaliana	P-glycoprotein 14(ABCB14)
AT5G56090	835708	Arabidopsis thaliana	cytochrome c oxidase 15(COX15)
AT1G43650	840949	Arabidopsis thaliana	nodulin MtN21 /EamA-like transporter family protein(UMAMIT22)
AT3G18518	5008008	Arabidopsis thaliana	ROTUNDIFOLIA like 20(RTFL20)
AT1G80600	844399	Arabidopsis thaliana	HOPW1-1-interacting 1(WIN1)
AT1G67626	3767660	Arabidopsis thaliana	hypothetical protein(AT1G67626)
AT5G22750	832338	Arabidopsis thaliana	DNA/RNA helicase protein(RAD5)
AT1G67635	843087	Arabidopsis thaliana	phosphatidylinositol 4-kinase gamma-like protein(AT1G67635)
AT3G06540	819832	Arabidopsis thaliana	Rab escort protein(REP)
AT2G07400	3768425	Arabidopsis thaliana	hypothetical protein(AT2G07400)
AT4G18160	827541	Arabidopsis thaliana	Ca2+ activated outward rectifying K+ channel 6(KCO6)
AT5G19100	832030	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G19100)
AT1G04040	839325	Arabidopsis thaliana	HAD superfamily, subfamily IIIB acid phosphatase(AT1G04040)
AT1G67630	843086	Arabidopsis thaliana	DNA polymerase alpha 2(POLA2)
AT1G55650	842014	Arabidopsis thaliana	HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein(AT1G55650)
AT1G28030	839696	Arabidopsis thaliana	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G28030)
AT1G31660	840053	Arabidopsis thaliana	bystin-like protein(AT1G31660)
AT3G06545	819833	Arabidopsis thaliana	transmembrane protein(AT3G06545)
AT3G18520	821382	Arabidopsis thaliana	histone deacetylase 15(HDA15)
AT5G09795	6241434	Arabidopsis thaliana	miscRNA(AT5G09795)
AT5G07130	830604	Arabidopsis thaliana	laccase 13(LAC13)
AT5G09790	830839	Arabidopsis thaliana	TRITHORAX-RELATED PROTEIN 5(ATXR5)
AT1G79610	844299	Arabidopsis thaliana	Na+/H+ antiporter 6(NHX6)
AT5G10780	830945	Arabidopsis thaliana	ER membrane protein complex subunit-like protein(AT5G10780)
AT1G04030	839326	Arabidopsis thaliana	eisosome protein(AT1G04030)
AT1G43640	840948	Arabidopsis thaliana	tubby like protein 5(TLP5)
AT3G18524	821383	Arabidopsis thaliana	MUTS homolog 2(MSH2)
AT3G31510	3769202	Arabidopsis thaliana	miscRNA(AT3G31510)
AT1G67645	3767661	Arabidopsis thaliana	miscRNA(AT1G67645)
AT2G07430	3767928	Arabidopsis thaliana	hypothetical protein(AT2G07430)
AT5G22740	832337	Arabidopsis thaliana	cellulose synthase-like A02(CSLA02)
AT4G18150	827540	Arabidopsis thaliana	Serine/Threonine-kinase, putative (DUF1296)(AT4G18150)
AT3G06550	819834	Arabidopsis thaliana	O-acetyltransferase family protein(RWA2)
AT1G04070	839317	Arabidopsis thaliana	translocase of outer membrane 22-I(TOM22-I)
AT1G55660	842015	Arabidopsis thaliana	FBD, F-box and Leucine Rich Repeat domains containing protein(AT1G55660)
AT1G67640	843088	Arabidopsis thaliana	Transmembrane amino acid transporter family protein(AT1G67640)
AT1G31650	840052	Arabidopsis thaliana	RHO guanyl-nucleotide exchange factor 14(ROPGEF14)
AT1G16010	838171	Arabidopsis thaliana	magnesium transporter 2(MGT2)
AT5G34728	3771180	Arabidopsis thaliana	hypothetical protein(AT5G34728)
AT2G19410	816460	Arabidopsis thaliana	U-box domain-containing protein kinase family protein(AT2G19410)
AT5G10750	830942	Arabidopsis thaliana	enhanced disease resistance-like protein (DUF1336)(AT5G10750)
AT3G18530	821384	Arabidopsis thaliana	ARM repeat superfamily protein(AT3G18530)
AT4G21800	828268	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(QQT2)
AT5G07100	830601	Arabidopsis thaliana	WRKY DNA-binding protein 26(WRKY26)
AT2G20400	816559	Arabidopsis thaliana	myb-like HTH transcriptional regulator family protein(AT2G20400)
AT5G09760	830836	Arabidopsis thaliana	Plant invertase/pectin methylesterase inhibitor superfamily(AT5G09760)
AT1G18680	838449	Arabidopsis thaliana	HNH endonuclease domain-containing protein(AT1G18680)
AT1G79620	844301	Arabidopsis thaliana	Leucine-rich repeat protein kinase family protein(AT1G79620)
AT1G43630	840947	Arabidopsis thaliana	plant/protein (DUF793)(AT1G43630)
AT4G18140	827539	Arabidopsis thaliana	SCP1-like small phosphatase 4b(SSP4b)
AT1G80620	844401	Arabidopsis thaliana	S15/NS1, RNA-binding protein(AT1G80620)
AT3G18535	5008009	Arabidopsis thaliana	tubulin-tyrosine ligase(AT3G18535)
AT5G22730	832336	Arabidopsis thaliana	F-box/RNI-like/FBD-like domains-containing protein(AT5G22730)
AT2G07420	3767927	Arabidopsis thaliana	hypothetical protein(AT2G07420)
AT3G06560	819835	Arabidopsis thaliana	poly(A) polymerase 3(PAPS3)
AT1G55670	842016	Arabidopsis thaliana	photosystem I subunit G(PSAG)
AT1G16020	838172	Arabidopsis thaliana	vacuolar fusion protein (DUF1712)(AT1G16020)
AT1G67650	843090	Arabidopsis thaliana	SRP72 RNA-binding domain-containing protein(AT1G67650)
AT1G31640	840051	Arabidopsis thaliana	AGAMOUS-like 92(AGL92)
AT1G16022	6241110	Arabidopsis thaliana	transmembrane protein(AT1G16022)
AT2G19400	816459	Arabidopsis thaliana	AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT2G19400)
AT1G55675	2745832	Arabidopsis thaliana	transmembrane protein(AT1G55675)
AT1G16025	838173	Arabidopsis thaliana	hypothetical protein(AT1G16025)
AT5G10760	830943	Arabidopsis thaliana	Eukaryotic aspartyl protease family protein(AT5G10760)
AT4G21810	828269	Arabidopsis thaliana	DERLIN-2.1(DER2.1)
AT1G18690	838450	Arabidopsis thaliana	Galactosyl transferase GMA12/MNN10 family protein(XXT4)
AT1G28002	7922338	Arabidopsis thaliana	miscRNA(AT1G28002)
AT5G09770	830837	Arabidopsis thaliana	Ribosomal protein L17 family protein(AT5G09770)
AT1G28000	839693	Arabidopsis thaliana	Pentatricopeptide repeat (PPR) superfamily protein(AT1G28000)
AT1G79630	844302	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT1G79630)
AT5G07110	830602	Arabidopsis thaliana	prenylated RAB acceptor 1.B6(PRA1.B6)
AT1G16030	838174	Arabidopsis thaliana	heat shock protein 70B(Hsp70b)
AT4G18130	827538	Arabidopsis thaliana	phytochrome E(PHYE)
AT1G80610	844400	Arabidopsis thaliana	hypothetical protein(AT1G80610)
AT1G43620	840946	Arabidopsis thaliana	UDP-Glycosyltransferase superfamily protein(UGT80B1)
AT3G31500	3769201	Arabidopsis thaliana	hypothetical protein(AT3G31500)
AT2G07450	3767929	Arabidopsis thaliana	hypothetical protein(AT2G07450)
AT3G55500	824715	Arabidopsis thaliana	expansin A16(EXPA16)
AT3G31530	3769203	Arabidopsis thaliana	hypothetical protein(AT3G31530)
AT1G04090	839298	Arabidopsis thaliana	vacuolar sorting-associated protein (DUF946)(AT1G04090)
AT2G32410	817802	Arabidopsis thaliana	AXR1-like protein(AXL)
AT5G34707	3771179	Arabidopsis thaliana	hypothetical protein(AT5G34707)
AT2G07455	3767930	Arabidopsis thaliana	hypothetical protein(AT2G07455)
AT3G06570	819836	Arabidopsis thaliana	Galactose oxidase/kelch repeat superfamily protein(AT3G06570)
AT4G33800	829522	Arabidopsis thaliana	hypothetical protein(AT4G33800)
AT1G28060	839699	Arabidopsis thaliana	Pre-mRNA-splicing factor 3(AT1G28060)
AT1G55600	842009	Arabidopsis thaliana	WRKY DNA-binding protein 10(WRKY10)
AT2G19430	816462	Arabidopsis thaliana	DWD (DDB1-binding WD40 protein) hypersensitive to ABA 1(DWA1)
AT5G10730	830939	Arabidopsis thaliana	NAD(P)-binding Rossmann-fold superfamily protein(AT5G10730)
AT5G09740	830834	Arabidopsis thaliana	histone acetyltransferase of the MYST family 2(HAM2)
AT1G55604	7922433	Arabidopsis thaliana	miscRNA(AT1G55604)
AT1G16080	838178	Arabidopsis thaliana	nuclear protein(AT1G16080)
AT3G43510	3769571	Arabidopsis thaliana	hypothetical protein(AT3G43510)
AT1G43690	840956	Arabidopsis thaliana	ubiquitin interaction motif-containing protein(AT1G43690)
AT2G20420	816561	Arabidopsis thaliana	ATP citrate lyase (ACL) family protein(AT2G20420)
AT3G18550	821386	Arabidopsis thaliana	TCP family transcription factor(BRC1)
AT4G21820	828270	Arabidopsis thaliana	binding / calmodulin binding protein(AT4G21820)
AT1G53010	841734	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G53010)
AT2G32415	817803	Arabidopsis thaliana	Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain-containing protein(AT2G32415)
AT4G18120	827537	Arabidopsis thaliana	miscRNA(ML3)
AT5G22720	28721185	Arabidopsis thaliana	F-box/FBD/LRR protein(AT5G22720)
AT2G07460	3768130	Arabidopsis thaliana	hypothetical protein(AT2G07460)
AT2G07440	815313	Arabidopsis thaliana	two-component responsive regulator-related / response regulator protein-like protein(AT2G07440)
AT3G55510	824716	Arabidopsis thaliana	Noc2p family(RBL)
AT1G04080	839314	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(PRP39)
AT3G55512	5008089	Arabidopsis thaliana	ncRNA(MIR172d)
AT4G33810	829523	Arabidopsis thaliana	Glycosyl hydrolase superfamily protein(AT4G33810)
AT3G06580	819837	Arabidopsis thaliana	Mevalonate/galactokinase family protein(GALK)
AT2G19425	5007886	Arabidopsis thaliana	miscRNA(MIR156g)
AT3G43505	3769570	Arabidopsis thaliana	low-molecular-weight cysteine-rich 30(LCR30)
AT5G10745	2745984	Arabidopsis thaliana	transmembrane protein(AT5G10745)
AT1G55610	842010	Arabidopsis thaliana	BRI1 like(BRL1)
AT2G19420	816461	Arabidopsis thaliana	hypothetical protein(AT2G19420)
AT4G08790	826449	Arabidopsis thaliana	Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase family protein(AT4G08790)
AT1G28070	839700	Arabidopsis thaliana	ATP-dependent RNA helicase(AT1G28070)
AT5G09750	830835	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HEC3)
AT5G10740	830941	Arabidopsis thaliana	Protein phosphatase 2C family protein(AT5G10740)
AT1G16090	838179	Arabidopsis thaliana	wall associated kinase-like 7(WAKL7)
AT3G43500	823436	Arabidopsis thaliana	hypothetical protein(AT3G43500)
AT2G20410	816560	Arabidopsis thaliana	RNA-binding ASCH domain protein(AT2G20410)
AT3G18560	821387	Arabidopsis thaliana	hypothetical protein(AT3G18560)
AT4G21830	828271	Arabidopsis thaliana	methionine sulfoxide reductase B7(MSRB7)
AT1G53000	841733	Arabidopsis thaliana	Nucleotide-diphospho-sugar transferases superfamily protein(CKS)
AT1G43680	840955	Arabidopsis thaliana	nucleic acid-binding/zinc ion-binding protein(AT1G43680)
AT4G18110	827536	Arabidopsis thaliana	RING/U-box superfamily protein(AT4G18110)
AT3G06590	819838	Arabidopsis thaliana	basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT3G06590)
AT2G44400	819047	Arabidopsis thaliana	Cysteine/Histidine-rich C1 domain family protein(AT2G44400)
AT3G55515	28719406	Arabidopsis thaliana	ROTUNDIFOLIA like 7(RTFL7)
AT1G67600	843081	Arabidopsis thaliana	Acid phosphatase/vanadium-dependent haloperoxidase-related protein(AT1G67600)
AT1G31690	840056	Arabidopsis thaliana	Copper amine oxidase family protein(AT1G31690)
AT4G33820	829524	Arabidopsis thaliana	Glycosyl hydrolase superfamily protein(AT4G33820)
AT4G21840	828272	Arabidopsis thaliana	methionine sulfoxide reductase B8(MSRB8)
AT3G18580	821389	Arabidopsis thaliana	Nucleic acid-binding, OB-fold-like protein(AT3G18580)
AT1G28040	839697	Arabidopsis thaliana	RING/U-box superfamily protein(AT1G28040)
AT1G55620	842011	Arabidopsis thaliana	chloride channel F(CLC-F)
