gene	A_1	A_2	A_3
AT3G09922	39.97285886	30.40608346	14.11395034
AT3G09925	23.87217789	8.729053773	8.338027342
AT3G09930	0.290614212	0.401929083	0.21377602
AT3G09940	8.885534092	2.727402955	1.700747259
AT3G09950	13.73393946	20.41908028	12.37580207
AT3G09960	3.868801697	2.67534046	3.557366576
AT3G09970	22.43866082	27.6815016	24.75884212
AT3G09980	59.4234081	61.26102858	63.82829621
AT3G09990	0	0	0
AT3G10000	1.031680453	1.399408856	0.875659465
AT3G10010	6.411308071	6.036415808	5.296613544
AT3G10020	177.6670115	135.0651739	73.47856906
AT3G10030	26.87879636	23.18099153	19.59190613
AT3G10040	55.46091154	37.72578502	11.22432383
AT3G10050	49.70861143	51.62082662	52.07139353
AT3G10060	47.84498483	50.16203805	53.07603602
AT3G10070	15.08366225	14.04315237	16.48095496
AT3G10080	29.27393284	32.10408552	31.73170986
AT3G10090	86.17791735	78.52969619	85.01709384
AT3G10110	19.22413012	14.45437466	18.29388288
AT3G10113	0.37418462	0	0
AT3G10116	0	0	0
AT3G10130	28.95392085	29.75573112	30.17700891
AT3G10120	0	0	0
AT3G10140	14.71838779	17.29035259	15.75111948
AT3G10150	0.42574875	0.220809235	0.117442905
AT3G10160	25.5900961	21.48209101	26.26617596
AT3G10185	0.570890369	0.888255331	0.944881557
AT3G10180	2.035733099	2.674712004	3.63140526
AT3G10190	6.136627769	8.694163403	7.26661243
AT3G10195	0	0	0
AT3G10200	5.622783975	4.738802567	4.763928378
AT3G10210	20.68575802	18.93248514	16.78285832
AT3G10220	34.25290736	38.50174369	33.19610029
AT3G10230	47.50772919	47.60035491	50.95945733
AT3G10240	0	0	0
AT3G10250	21.22441471	17.96857515	14.12030454
AT3G10260	37.87982043	40.21029422	35.06574748
AT3G10270	29.26397688	29.75746577	33.5029406
AT3G10280	0	0	0
AT3G10290	1.129282747	1.522789566	1.121446602
AT3G10300	27.18355019	30.57787708	28.99454615
AT3G10310	3.339048768	2.9750674	3.448136233
AT3G10320	5.606271713	6.044793767	2.8488002
AT3G10330	25.06318356	28.66908049	25.46859758
AT3G10340	67.07059988	81.23914074	59.89549343
AT3G10350	44.98106534	41.66130961	49.16318991
AT3G10360	16.95393962	14.91411515	15.9921476
AT3G10370	38.81383166	40.84788117	37.41308458
AT3G10380	41.85441559	45.75024181	41.56792968
AT3G10390	15.35082907	13.87917741	12.99431974
AT3G10405	18.77472535	20.95281658	21.26301031
AT3G10400	0	0	0
AT3G10410	143.7797327	157.6008932	139.8405645
AT3G10420	24.28006582	22.76345719	18.14665847
AT3G10430	0.129771126	0	0
AT3G10439	0	0	0
AT3G10440	3.896634803	5.187080964	5.231120346
AT3G10450	23.41541038	19.94805388	17.22439242
AT3G10455	0	0	0
AT3G10460	0	0	0
AT3G10470	0.926947431	0.437045116	0.27894403
AT3G10480	20.08561206	21.27640735	18.81165888
AT3G10490	47.23423477	49.92040686	40.61166599
AT3G10500	24.493192	22.01471578	18.03830677
AT3G10510	0	0	0
AT3G10520	76.93536641	63.24020867	62.94715466
AT3G10525	31.82471904	31.7413275	30.67776464
AT3G10527	0	0	0
AT3G10530	43.89564063	47.96211505	51.24780307
AT3G10540	16.56367699	16.76873947	18.05706219
AT3G10550	13.95440293	13.87766247	9.31245816
AT3G10560	0	0.165363207	0.087952551
AT3G10570	4.06568728	3.788363782	6.006789974
AT3G10572	13.05079251	14.64852632	11.06885525
AT3G10580	0.159950458	0	0
AT3G10585	0	0	0
AT3G10590	0	0.878189131	0.186834728
