"","gene","Control_1","Control_2","Control_3","A_1","A_2","A_3","wtavg","abaavg","log2FoldChange"
"186","AT1G02780",1692.497357,1956.363714,1814.418933,1210.443046,1193.824242,1244.063378,1821.09333466667,1216.110222,-0.582530872014182
"187","AT1G02790",0,0,0,0,0,0,0,0,NA
"188","AT1G02800",2.84137312,4.502924915,2.163621464,2.456112542,2.794211869,4.371092227,3.16930649966667,3.20713887933333,0.017119640725218
"189","AT1G02810",8.09853533,4.583686299,3.77123218,3.590557673,2.318963026,2.616299621,5.484484603,2.84194010666667,-0.948479901304565
"190","AT1G02813",0.240742852,0,0,0,0,0,0.0802476173333333,0,-Inf
"191","AT1G02816",11.16974699,10.32956502,12.02640461,40.66186253,34.41536592,33.12747661,11.1752388733333,36.06823502,1.69042315765349
"192","AT1G02820",14.61922768,17.88416584,18.40516172,26.37359588,28.09107483,31.44433044,16.9695184133333,28.6363337166667,0.754901175033663
"193","AT1G02830",0.352728852,1.17122627,1.022717873,1.298294502,0.336672058,0,0.848890998333333,0.544988853333333,-0.639352593999159
"194","AT1G02840",131.8871963,111.023934,120.808969,120.2202784,110.6651679,94.69471264,121.2400331,108.526719646667,-0.15981586829106
"195","AT1G02850",47.88984851,61.29270809,81.79259149,112.6016261,114.8203496,94.56244966,63.6583826966667,107.328141786667,0.753605995535464
"196","AT1G02860",20.19127571,24.67846432,29.8110911,16.1521012,17.52892754,12.77432631,24.8936103766667,15.48511835,-0.684893073505415
"197","AT1G02870",93.770904,111.0694475,114.4490125,59.17241604,53.77213223,55.31852024,106.429788,56.0876895033333,-0.924145936233442
"198","AT1G02880",15.02766356,13.25848685,17.2614613,17.37567078,19.07470812,16.37636824,15.1825372366667,17.6089157133333,0.213893168964393
"199","AT1G02890",53.02598753,47.40381306,54.54575856,47.769754,47.56834973,40.13428871,51.6585197166667,45.1574641466667,-0.194041830688276
"200","AT1G02900",50.91232083,23.34395216,23.62590058,32.97994889,25.61309555,18.1017473,32.62739119,25.56493058,-0.351917529034805
"201","AT1G02910",49.39437251,48.82413006,49.59526094,39.81228413,39.46283085,40.39974349,49.2712545033333,39.89161949,-0.304660510744691
"202","AT1G02920",68.19472944,49.19777949,74.03814135,24.52898949,21.86147951,13.5326565,63.81021676,19.9743751666667,-1.67563706094929
"203","AT1G02930",54.92428399,71.52158395,103.3525684,59.18679426,56.97166835,25.53145387,76.59947878,47.22997216,-0.697631890303758
"204","AT1G02940",0.321978132,0,0.311185951,0,0.460981741,0.163456433,0.211054694333333,0.208146058,-0.0200206823728735
"205","AT1G02950",8.631440247,6.899739279,6.024870563,11.03120647,9.459044886,5.680194288,7.18535002966667,8.72348188133333,0.279845647377299
"206","AT1G02960",12.80842062,11.37745269,12.85219004,14.63870912,14.4056794,14.24721616,12.3460211166667,14.4305348933333,0.225078612802029
"207","AT1G02965",0,0,0,0,0,0,0,0,NA
"208","AT1G02970",3.061507936,2.335352328,2.718981095,2.055747027,1.342606283,2.184301839,2.705280453,1.86088504966667,-0.539789223982344
"209","AT1G02980",0.063088561,0,0.060973935,0.232211034,0.120433333,0.064055475,0.0413541653333333,0.138899947333333,1.74794149727367
"210","AT1G02990",9.913537219,9.17067752,9.831741888,11.11957755,11.99789423,10.95360527,9.638652209,11.3570256833333,0.23668172281253
"211","AT1G03000",18.00683468,15.6991418,17.31119418,16.74484692,16.82338523,18.33118014,17.0057235533333,17.2998040966667,0.0247353102316147
