gene	Control_1	Control_2	Control_3
AT1G02280	118.0464924	120.2098791	122.4621813
AT1G02290	11.90335114	10.32362714	11.50437026
AT1G02300	18.33394947	14.59632739	16.99406884
AT1G02305	61.58089218	45.84077232	53.8023258
AT1G02310	0.411709742	0.170883833	0.497387381
AT1G02320	0	0	0
AT1G02330	49.99702341	50.24099276	54.29777496
AT1G02335	17.91613166	16.97834445	19.61414479
AT1G02340	9.075467712	5.222230141	4.186289321
AT1G02350	0.742148176	2.464282223	1.793181455
AT1G02360	24.74553726	11.78127816	14.42000586
AT1G02370	23.78966069	28.27735932	29.33233133
AT1G02380	3.456314229	3.165957115	3.11008738
AT1G02390	2.346140076	1.444973586	2.486936903
AT1G02400	10.5901124	11.22816366	16.51811198
AT1G02405	0.624526549	1.036861452	1.408384692
AT1G02410	17.95647274	18.41832238	19.64860011
AT1G02420	7.951482978	9.000912412	8.882618716
AT1G02430	0.968915675	1.340523894	1.248585606
AT1G02440	0.329757015	0	0
AT1G02450	0.25194918	0	0.730512766
AT1G02460	1.283498686	2.506953776	2.845802257
AT1G02470	1.707821694	0.902168603	1.500525728
AT1G02475	32.51506937	28.42451289	33.92811079
AT1G02490	0	0.437244706	1.018141954
AT1G02500	332.0365007	296.7630514	309.7308768
AT1G02510	0	0	0
AT1G02520	4.859577068	2.103454521	2.247702593
AT1G02530	0.297492233	0.246953656	0.359400974
AT1G02540	0	0	0
AT1G02550	0	0	0
AT1G02560	246.9614723	260.7740437	260.0185856
AT1G02570	1.864922843	0.774053005	0.450603419
AT1G02575	0.149918185	0.248899565	0.289786344
AT1G02580	0	0.053976356	0
AT1G02590	0	0	0
AT1G02610	2.98370774	2.122996701	3.913591135
AT1G02620	1.134955454	0.753717556	0.877530881
AT1G02630	0.088033841	0.146156952	0.085083091
AT1G02640	32.43439106	42.75947331	43.49224851
AT1G02650	3.19499438	3.536296436	3.325434419
AT1G02660	12.26111306	12.28716089	15.05288129
AT1G02670	0.984264834	1.075073618	1.151542071
AT1G02680	20.07482178	13.93494541	16.89307416
AT1G02690	18.26677914	17.14144059	15.90999009
AT1G02700	2.662374487	2.113994318	2.237509603
AT1G02705	16.94920096	16.21089881	22.43497305
AT1G02710	0	0	0
AT1G02720	9.783685105	10.39162913	10.63037954
AT1G02730	11.51738337	15.3370961	13.64362098
AT1G02740	14.73420043	11.23266574	12.78723879
AT1G02750	15.65374191	18.54662814	16.91703317
AT1G02770	2.418752998	4.015700775	3.075895197
AT1G02780	1692.497357	1956.363714	1814.418933
AT1G02790	0	0	0
AT1G02800	2.84137312	4.502924915	2.163621464
AT1G02810	8.09853533	4.583686299	3.77123218
AT1G02813	0.240742852	0	0
AT1G02816	11.16974699	10.32956502	12.02640461
AT1G02820	14.61922768	17.88416584	18.40516172
AT1G02830	0.352728852	1.17122627	1.022717873
AT1G02840	131.8871963	111.023934	120.808969
AT1G02850	47.88984851	61.29270809	81.79259149
AT1G02860	20.19127571	24.67846432	29.8110911
AT1G02870	93.770904	111.0694475	114.4490125
AT1G02880	15.02766356	13.25848685	17.2614613
AT1G02890	53.02598753	47.40381306	54.54575856
AT1G02900	50.91232083	23.34395216	23.62590058
AT1G02910	49.39437251	48.82413006	49.59526094
AT1G02920	68.19472944	49.19777949	74.03814135
AT1G02930	54.92428399	71.52158395	103.3525684
AT1G02940	0.321978132	0	0.311185951
AT1G02950	8.631440247	6.899739279	6.024870563
AT1G02960	12.80842062	11.37745269	12.85219004
AT1G02965	0	0	0
AT1G02970	3.061507936	2.335352328	2.718981095
AT1G02980	0.063088561	0	0.060973935
AT1G02990	9.913537219	9.17067752	9.831741888
AT1G03000	18.00683468	15.6991418	17.31119418
AT1G03010	0.815701837	0.386930728	0.619426378
AT1G03020	7.929847751	6.776318408	8.791118712
AT1G03030	11.70220891	9.553648664	10.09484924
AT1G03040	37.68651604	40.20026782	38.4266085
AT1G03050	0	0	0.068273245
AT1G03055	3.903198491	3.587270514	3.502914679
AT1G03060	11.79946946	8.03576987	9.987956444
AT1G03070	1.257727078	2.296936134	1.580241157
AT1G03080	31.43359154	25.14281138	29.7404102
AT1G03090	16.37789166	8.128827345	12.12075523
AT1G03100	7.02076917	9.620935707	7.970204602
AT1G03103	0	0	0
AT1G03106	1.176392265	0.139506341	0.81211537
AT1G03110	32.44792303	47.42649431	43.48118218
AT1G03120	0.69147286	0.191334688	0.445530547
AT1G03130	715.5340907	661.7168085	601.7346747
AT1G03140	49.01977113	48.91453434	46.30218521
AT1G03150	37.25235247	39.6211804	42.37937225
AT1G03160	22.98313121	25.66953815	24.18163374
AT1G03165	0.688440085	0.571486502	0
AT1G03170	0.815752305	1.128617779	0.985512025
AT1G03180	3.583206224	3.304982182	3.751694923
AT1G03190	9.459777937	10.01575983	10.45662283
AT1G03200	6.480179145	5.379313315	8.698575178
AT1G03210	26.23239643	11.89944498	14.26979412
AT1G03220	234.823964	139.6699714	156.5968011
AT1G03230	38.69548685	36.09349833	34.80248761
AT1G03240	0	0	0
AT1G03250	28.74449835	30.65331305	31.63083535
AT1G03260	14.79358984	13.63488379	13.56182016
AT1G03270	4.802308398	2.805302581	3.352080959
AT1G03280	28.96766777	24.21434912	26.6945459
AT1G03290	9.622582413	7.746634152	9.019175205
AT1G03300	0.46785198	0.841473419	0
AT1G03310	23.779383	27.87278642	25.6455262
AT1G03320	0	0.185875781	0.649228892
AT1G03325	0	0	0
AT1G03330	48.60831153	48.92514381	52.06843638
AT1G03340	3.853802624	3.717885646	4.1272921
AT1G03350	41.96586217	43.59920207	45.20405541
AT1G03360	53.30864354	53.20129592	55.6435709
AT1G03365	14.69333149	13.83912949	12.06160667
AT1G03370	14.59959273	13.57992586	16.42576451
AT1G03380	14.44687321	10.24822986	10.62611123
AT1G03390	0	0	0
AT1G03395	0	0	0
AT1G03400	7.159027048	6.741128735	5.266753374
AT1G03410	17.10508826	16.26279915	17.21819324
AT1G03430	15.17871047	12.60012069	17.96783949
AT1G03440	13.81754081	12.01638876	13.14242483
AT1G03445	0.333966679	0.138615875	0.161386331
AT1G03457	9.392313266	8.919457119	8.206058437
AT1G03470	11.09733303	7.977485053	6.191965351
AT1G03475	171.5531075	177.9182075	163.1048222
AT1G03490	0	0	0
AT1G03495	39.74993184	44.02930792	50.22057024
AT1G03510	6.513486189	6.736542934	7.017560732
AT1G03520	6.390218774	6.280200758	6.105040241
AT1G03530	44.0639364	49.603698	52.87018412
AT1G03540	4.556766719	4.390580593	4.954535262
AT1G03550	11.68414323	7.686172396	9.374913833
AT1G03560	11.74882779	10.92326297	12.7825153
AT1G03590	26.7384048	22.84194721	23.17592079
AT1G03600	168.900791	165.3755906	159.6632404
AT1G03610	28.864263	15.57778405	20.44226859
AT1G03620	0.758892857	0.734965719	1.100184013
AT1G03630	102.3298575	114.986794	101.2769218
AT1G03650	12.14186033	11.10170192	12.4151682
AT1G03660	1.958789592	1.084017658	1.135880499
AT1G03670	0	0	0
AT1G03680	237.4967224	235.0009825	226.841389
AT1G03687	17.7676322	20.22751708	18.15335249
AT1G03700	2.625448925	0	0.181246298
AT1G03710	1.358345244	0.125287426	0.729342073
AT1G03720	0	0	0
AT1G03730	18.64800569	17.22283162	19.21652819
AT1G03740	35.97695087	31.64515423	38.63963078
AT1G03750	3.843563224	2.627561996	3.168448961
AT1G03760	21.92049022	17.81946191	18.88056584
AT1G03770	8.843932435	8.265613289	9.862498003
AT1G03780	4.159068867	5.828926335	5.011528736
AT1G03790	1.100019629	0.491694047	1.144929442
AT1G03800	0.49051356	1.017960332	0.474072347
AT1G03810	0	0	0
AT1G03820	14.34545426	14.5675814	15.07608955
AT1G03830	13.57436541	13.8714507	12.8287558
AT1G03840	3.917986628	2.032744501	2.129997441
AT1G03850	18.84443491	6.781692706	9.474867175
AT1G03860	122.1551888	143.1755219	136.4435988
AT1G03870	370.5652959	371.6429749	383.8193986
AT1G03880	0.192240465	0.079791134	0
AT1G03890	0	0	0
AT1G03900	88.30035875	70.56543746	77.62695545
AT1G03905	3.745739915	2.072937404	2.930629055
AT1G03910	51.97224879	47.87772793	44.49284113
AT1G03920	1.84422853	0.963917181	1.320305928
AT1G03930	25.11169876	22.03069835	22.45131381
AT1G03940	31.75295289	34.57880687	31.79596806
AT1G03950	11.96795549	9.934815208	9.490715221
AT1G03960	8.619429037	9.226368792	10.13911956
AT1G03970	20.44493495	19.70908072	18.10239282
AT1G03980	1.66491344	1.612420373	1.251528648
AT1G03982	0	0	0.117599342
AT1G03990	1.382655673	1.421045296	1.527212931
AT1G04000	13.13198103	10.28405071	9.21952852
AT1G04010	5.057674477	3.222079013	4.262921069
AT1G04020	5.759578579	6.777645567	7.218133803
AT1G04030	4.571776873	3.443714781	2.782042685
AT1G04040	354.8319088	319.5083156	302.1490938
AT1G04050	2.677218674	2.922054169	3.49789325
AT1G04070	21.38354767	30.96959898	29.46119166
AT1G04080	70.1294394	72.0484573	76.43831754
AT1G04090	0.223172046	0.494024351	0.575177824
AT1G04100	4.560126065	4.383144183	5.799050119
AT1G04105	0	0	0
AT1G04110	3.435351636	5.859044268	6.519673824
AT1G04120	29.35400722	24.97009601	30.17866956
AT1G04130	6.932505427	9.448175002	8.500176562
AT1G04140	67.23472495	63.11613413	66.18895446
AT1G04150	0.230288056	0.344099267	0.178055342
AT1G04160	4.695260433	3.946957138	3.417772621
AT1G04170	193.0676868	222.6529466	211.6056787
AT1G04180	11.61288623	9.71908276	8.003744176
AT1G04190	68.18761143	66.89535656	68.3627035
AT1G04200	16.14172284	13.90359231	15.55177371
AT1G04210	49.98938993	50.77634805	52.92233932
AT1G04220	6.911345664	3.314845387	3.933594427
AT1G04230	12.64195029	11.14613094	10.77631188
AT1G04240	30.23445945	26.82907704	29.22104977
AT1G04250	56.96959316	44.02659114	42.8500928
AT1G04260	24.02639848	23.48822846	19.09550154
AT1G04270	826.826238	933.832473	869.45793
AT1G04280	18.51053563	12.35503728	13.59888805
AT1G04290	13.16117585	15.06545353	15.79962209
AT1G04300	35.0446438	28.15795436	31.77186272
AT1G04310	8.464948961	13.35112226	11.68745386
AT1G04330	2.035560596	1.502004871	1.092962184
AT1G04340	31.87398461	35.44530076	36.03676386
AT1G04350	9.800774332	11.16307323	8.591127144
AT1G04360	6.558899124	5.593828958	5.644364523
AT1G04370	0.213266765	0	0.412236824
AT1G04380	0.167696944	0.069604125	0
AT1G04390	7.653483365	6.390887718	7.134337458
AT1G04400	69.33358829	55.93109908	55.16478222
AT1G04410	685.5634038	630.4916865	625.152415
AT1G04420	89.54820657	93.04646905	88.02528521
AT1G04430	117.9894762	121.5917015	126.6422846
AT1G04440	38.93132969	27.44559772	28.61372273
AT1G04445	0.266041253	0.110422816	0.128561992
AT1G04450	0	0	0
AT1G04455	0	0	0
AT1G04470	0	0	0
AT1G04480	551.4756836	609.805298	601.4605468
AT1G04490	0.502085052	0.520987295	0.727883972
AT1G04500	0.244365863	0.2028525	0.236175118
AT1G04510	70.95159312	78.21490575	73.88543649
AT1G04520	24.61008761	31.1421899	23.88188548
AT1G04530	43.15489381	38.4740913	36.43264653
AT1G04540	2.246014667	1.118674314	1.426480979
AT1G04550	27.77301431	30.65349072	26.03785032
AT1G04555	9.028221332	7.363006722	7.041720435
AT1G04560	1.835840226	0.761982003	0.88715293
AT1G04570	0.653110982	0.48191927	0.841626358
AT1G04580	0.034093036	0	0
AT1G04590	38.74296104	39.97181333	41.72371575
AT1G04600	0.190556777	0.067793404	0.210479571
AT1G04610	2.919855241	1.689332141	1.881324309
AT1G04620	14.97589556	14.24961214	14.6104745
AT1G04625	0	0	0
AT1G04630	73.10956475	75.20608951	77.17516009
AT1G04635	14.28916744	15.2764254	14.01946362
AT1G04640	29.77303238	29.44982915	26.45985194
AT1G04645	0	0	0
AT1G04650	1.602144029	2.127949741	2.079337446
AT1G04660	0.558194663	1.76079625	1.186866758
AT1G04670	0.617159919	0.170771851	0
AT1G04680	74.84943663	74.44755217	64.29463347
AT1G04690	135.2098038	140.7455111	138.6919424
AT1G04700	1.948206694	1.617241433	1.809066538
AT1G04710	22.6246446	23.14520334	24.49751842
AT1G04730	5.012063644	5.160749465	5.170110461
AT1G04750	85.35266262	82.6981377	84.36465923
AT1G04760	1.629387605	2.164134353	1.994712714
AT1G04770	22.37108574	17.75880953	17.36788412
AT1G04778	0.740397827	0.768271949	0.715580901
AT1G04780	34.26301617	31.78123039	33.7864658
AT1G04790	20.54058966	21.26652716	20.73441833
AT1G04800	110.1959967	132.0751493	116.9901613
AT1G04810	40.80615866	44.41922512	47.47624089
AT1G04820	543.3626012	576.3297852	546.3160662
AT1G04830	13.2667648	11.07700914	12.5238965
AT1G04840	2.206675876	3.036933821	3.367439536
AT1G04850	73.88790621	65.5592063	71.77826888
AT1G04860	35.20055428	32.78317859	32.69692698
AT1G04870	86.97716464	95.11981614	88.72675074
AT1G04880	0.532985872	1.106102908	0.515121056
AT1G04890	0	0	0
AT1G04895	0	0	0
AT1G04900	32.13514444	27.80311496	30.2706403
AT1G04910	20.13514891	20.19415824	21.99225462
AT1G04920	0.995637012	1.22177699	1.129615301
AT1G04930	11.05673753	12.1806761	11.2853562
AT1G04945	18.68344188	21.48959842	21.22712002
AT1G04940	89.75006045	99.62755679	97.75862492
AT1G04950	20.52559494	16.1564047	18.29682525
AT1G04960	23.94974888	20.7680075	23.57723392
AT1G04970	21.93881976	16.14655236	19.96477589
AT1G04980	22.41002565	22.43298786	25.39002949
