"","gene","log2FoldChange"
"1","AT1G01010",-0.00790384265010627
"2","AT1G01020",-0.285791134742836
"3","AT1G01030",-0.42553142316249
"4","AT1G01040",-0.0869311307263675
"5","AT1G01050",0.0295605065966668
"6","AT1G01060",0.317130853430225
"7","AT1G01070",0.176170783007928
"8","AT1G01080",-0.493383308847696
"9","AT1G01090",0.047035315553284
"10","AT1G01100",-0.671325011879379
"11","AT1G01110",-0.416235744018651
"12","AT1G01120",0.676368734360964
"13","AT1G01130",-0.451812509874539
"14","AT1G01140",0.737153220559223
"15","AT1G01150",-0.433501663876028
"16","AT1G01160",0.0365145800172457
"17","AT1G01170",0.122352231782906
"18","AT1G01180",-0.0916358333303383
"19","AT1G01190",-1.4889928077346
"20","AT1G01200",-0.922814748908718
"21","AT1G01210",-0.799519090987821
"22","AT1G01220",-0.051103910690248
"23","AT1G01225",0.399192922380149
"24","AT1G01230",0.266964156273802
"25","AT1G01240",2.04403890662421
"26","AT1G01250",3.40932011219009
"27","AT1G01260",-0.191053506095872
"28","AT1G01290",-0.0992841588245882
"29","AT1G01300",-0.447695294542424
"30","AT1G01320",-0.43276152853159
"31","AT1G01340",-1.2328636524918
"32","AT1G01350",-0.218756843259958
"33","AT1G01355",0.702814010567504
"34","AT1G01360",0.308004061121181
"35","AT1G01370",-0.0892275600759125
"36","AT1G01380",-1.81578971351021
"37","AT1G01390",-1.06494530939719
"38","AT1G01420",0.421034730022585
"39","AT1G01430",-0.0288624409709152
"40","AT1G01440",-0.165061263294518
"41","AT1G01450",-0.36702311330525
"42","AT1G01453",-0.164747438803459
"43","AT1G01460",0.324712926474075
"44","AT1G01470",2.82532844273792
"45","AT1G01480",-0.0968046097062914
"46","AT1G01490",0.067496728790181
"47","AT1G01500",0.039939865855681
"48","AT1G01510",-0.0653106626795701
"49","AT1G01520",4.82921200025218
"50","AT1G01530",0.98197017949784
"51","AT1G01540",-0.167091694941186
"52","AT1G01550",0.113417293106694
"53","AT1G01560",-0.0868206201313004
"54","AT1G01570",1.33525700802069
"55","AT1G01580",0.367838053377949
"56","AT1G01600",0.370654950129575
"57","AT1G01610",0.426657972800902
"58","AT1G01620",0.37969474941947
"59","AT1G01630",0.105083932363022
"60","AT1G01640",0.624906951753332
"61","AT1G01650",0.622724834327936
"62","AT1G01660",-0.960758873902197
"63","AT1G01670",0.691375273183952
"64","AT1G01680",-1.56273466246432
"65","AT1G01690",0.109398009429491
"66","AT1G01695",-0.429150792491446
"67","AT1G01700",0.795228821089496
"68","AT1G01710",0.4002790689196
"69","AT1G01715",-0.493813944924971
"70","AT1G01720",1.3466346968403
"71","AT1G01725",0.131237258828467
"72","AT1G01730",-0.272546498115131
"73","AT1G01740",-0.604428876687852
"74","AT1G01750",-0.666658271910118
"75","AT1G01760",-0.194668577162338
"76","AT1G01770",-0.0945059515733589
"77","AT1G01780",-0.102292383606748
"78","AT1G01790",0.299640155908222
"79","AT1G01800",0.237573732830249
"80","AT1G01810",-0.867562703193324
"81","AT1G01820",-0.301169806239148
"82","AT1G01830",0.926773635763102
"83","AT1G01840",-0.627130871535558
"84","AT1G01860",-0.397566915363316
"85","AT1G01880",0.391325410171814
"86","AT1G01900",1.58116823458291
"87","AT1G01910",-0.285863421455988
"88","AT1G01920",-0.0471326365182352
"89","AT1G01930",-0.280073612350248
"90","AT1G01940",-0.201493080643233
"91","AT1G01950",-0.248382947958282
"92","AT1G01960",-0.05431745856871
"93","AT1G01970",-0.335787952403644
"94","AT1G01990",-0.371010055442806
"95","AT1G02000",0.154530662350239
"96","AT1G02010",0.228916394284475
"97","AT1G02020",0.100288493289101
"98","AT1G02030",-0.376574849483073
"99","AT1G02040",-0.939152261687819
"100","AT1G02050",-0.227464268224674
"101","AT1G02060",-0.336986651416059
"102","AT1G02065",0.00712928546394364
"103","AT1G02070",-0.527247631609534
"104","AT1G02080",0.0717838273994308
"105","AT1G02090",-0.136918311453767
"106","AT1G02100",0.0116632608672237
"107","AT1G02110",-0.256420121442854
"108","AT1G02120",-0.190520728830045
"109","AT1G02130",0.105900709430105
"110","AT1G02140",-0.256495446740819
"111","AT1G02145",-0.0721856360001095
"112","AT1G02150",-0.510375780765712
"113","AT1G02160",-0.173210647652258
"114","AT1G02170",0.192494707198843
"115","AT1G02180",-0.393574598715663
"116","AT1G02190",-1.59634591405646
"117","AT1G02205",3.68740137489726
"118","AT1G02220",0.397587609733197
"119","AT1G02230",-0.585844295471457
"120","AT1G02260",-0.0567532899558259
"121","AT1G02270",0.207950944803897
"122","AT1G02280",-0.714483435825408
"123","AT1G02290",-0.00730025510722311
"124","AT1G02300",1.05927449361255
"125","AT1G02305",0.916027215146158
"126","AT1G02310",4.89648324232163
"127","AT1G02330",-0.193904515723417
"128","AT1G02335",0.429912826757461
"129","AT1G02340",1.86133523057139
"130","AT1G02350",0.266141334462517
"131","AT1G02360",-2.41515218283067
"132","AT1G02370",-0.563489535213043
"133","AT1G02380",0.689394964431232
"134","AT1G02390",2.53892787436055
"135","AT1G02400",0.462775856115657
"136","AT1G02405",-2.90420694997179
"137","AT1G02410",0.0975773586535433
"138","AT1G02420",-0.340576650111667
"139","AT1G02430",-0.121287959866077
"140","AT1G02440",-1.06721560061658
"141","AT1G02450",-1.05664195677674
"142","AT1G02460",-0.77588295834443
"143","AT1G02470",2.17949467101757
"144","AT1G02475",0.532589317318255
"145","AT1G02490",-0.488225416242939
"146","AT1G02500",0.345061720207416
"147","AT1G02520",-0.421421907672391
"148","AT1G02530",-0.834233580140727
"149","AT1G02560",-0.022119410220953
"150","AT1G02570",-0.708222321231548
"151","AT1G02575",-2.17755591959267
"152","AT1G02610",0.4178812256646
"153","AT1G02620",-1.8761692298851
"154","AT1G02640",-2.35894489372627
"155","AT1G02650",-2.2965847650079
"156","AT1G02660",0.850081097012474
"157","AT1G02670",1.32643479587203
"158","AT1G02680",0.213397096283943
"159","AT1G02690",-0.48069724656571
"160","AT1G02700",2.45934093052665
"161","AT1G02705",0.0380693385842331
"162","AT1G02720",-0.31051326638577
"163","AT1G02730",-0.121148666255216
"164","AT1G02740",-0.238831906011086
"165","AT1G02750",-0.306690680659563
"166","AT1G02770",0.00893939467980309
"167","AT1G02780",-0.582530872014182
"168","AT1G02800",0.017119640725218
"169","AT1G02810",-0.948479901304565
"170","AT1G02816",1.69042315765349
"171","AT1G02820",0.754901175033663
"172","AT1G02830",-0.639352593999159
"173","AT1G02840",-0.15981586829106
"174","AT1G02850",0.753605995535464
"175","AT1G02860",-0.684893073505415
